"","employment","total_number","total_median","men_number","men_median","women_number","women_median","Total","median","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year","code2"
"119","Food and tobacco roasting, baking, and drying machine operators and tenders","7","-","5","-","3","-",12,"–","51-3091","    2.82","    5.50","    2.28","    0.49","    0.73","    0.18","   0.00","2011","51-309"
"120","Food preparation workers","357","384","155","395","202","375",784,"28","35-2021","  241.47","  301.06","  141.90","   37.63","   54.10","    7.06","   1.57","2011","35-202"
"121","Food servers, nonrestaurant","84","419","31","-","52","393",181,"32.299999999999997","35-3041","   37.83","   75.48","   42.17","   10.32","   13.94","    0.72","   0.36","2011","35-304"
"122","Food service managers","675","660","361","734","314","599",1051,"39.700000000000003","2612155","   94.59","  306.89","  295.33","   94.59","  219.66","   34.68","   6.31","2011","261215"
"123","Forest and conservation workers","8","-","4","-","4","-",14,"–","45-4011","    3.46","    4.31","    2.42","    1.43","    1.76","    0.45","   0.18","2011","45-401"
"124","Fundraisers","56","1064","14","-","42","-",78,"41.2","13-1131","    1.09","    3.98","    8.19","    2.34","   39.31","   19.73","   3.35","2011","13-113"
"125","Furnace, kiln, oven, drier, and kettle operators and tenders","11","-","11","-","0","-",11,"–","51-9051","    0.95","    5.65","    2.85","    1.00","    0.56","    0.00","   0.00","2011","51-905"
"126","Furniture finishers","11","-","9","-","2","-",17,"–","51-7021","    4.57","    6.65","    4.00","    0.63","    0.88","    0.19","   0.07","2011","51-702"
"127","Gaming cage workers","2","-","1","-","1","-",5,"–","43-3041","    0.46","    2.08","    1.56","    0.34","    0.51","    0.04","   0.00","2011","43-304"
"128","Gaming managers","22","-","15","-","7","-",23,"–","2619460","    0.67","    7.45","    8.35","    2.58","    3.43","    0.41","   0.12","2011","261946"
"129","General and operations managers","921","1191","651","1319","270","972",978,"45.4","11-1021","   21.52","  153.55","  237.65","   82.15","  332.52","  124.21","  25.43","2011","11-102"
"130","Glaziers","40","-","40","-","0","-",48,"–","47-2121","   11.09","   22.18","   10.51","    1.97","    2.26","    0.00","   0.00","2011","47-212"
"131","Graders and sorters, agricultural products","85","379","32","-","53","363",95,"43.1","45-2041","   56.05","   24.04","    8.84","    1.90","    3.52","    0.38","   0.19","2011","45-204"
"132","Hazardous materials removal workers","25","-","24","-","1","-",32,"–","47-4041","    6.88","   11.74","    7.20","    1.86","    3.36","    0.70","   0.22","2011","47-404"
"133","Health diagnosing and treating practitioners, all other","5","-","3","-","2","-",26,"–","29-1199","    0.21","    0.70","    1.72","    0.70","    3.35","   11.83","   7.46","2011","29-119"
"134","Heating, air conditioning, and refrigeration mechanics and installers","281","793","279","795","1","-",338,"39.4","49-9021","   35.83","  143.99","  100.72","   43.60","   11.83","    1.69","   0.34","2011","49-902"
"135","Highway maintenance workers","96","708","94","711","2","-",105,"45.3","47-4051","   15.86","   57.54","   23.52","    4.94","    2.84","    0.21","   0.00","2011","47-405"
"136","Home appliance repairers","27","-","23","-","4","-",43,"–","49-9031","    6.11","   19.35","   10.71","    3.44","    2.71","    0.60","   0.04","2011","49-903"
"137","Hosts and hostesses, restaurant, lounge, and coffee shop","62","369","10","-","52","356",286,"21.4","35-9031","   42.61","   92.95","   74.93","   22.88","   46.33","    5.72","   0.57","2011","35-903"
"138","Hotel, motel, and resort desk clerks","86","423","33","-","53","416",135,"30.1","43-4081","   11.21","   43.34","   45.49","   10.94","   20.66","    3.24","   0.27","2011","43-408"
"139","Human resources assistants, except payroll and timekeeping","45","-","5","-","40","-",40,"–","43-4161","    1.04","    7.96","   13.72","    5.60","    8.92","    2.60","   0.20","2011","43-416"
"140","Human resources managers","207","1331","58","1488","149","1273",243,"45.1","446267","    6.56","   30.13","   49.81","   18.71","   86.51","   44.71","   6.56","2011","446267"
"141","Industrial production managers","250","1211","204","1245","45","-",259,"46.3","420700","    9.84","   52.84","   59.83","   21.50","   81.33","   30.30","   3.37","2011","420700"
"142","Industrial truck and tractor operators","491","562","456","556","35","-",528,"39.799999999999997","53-7051","  127.78","  270.86","   96.62","   19.54","   11.09","    1.06","   0.53","2011","53-705"
"143","Information and record clerks, all other","105","744","18","-","86","737",118,"45.7","43-4199","    2.48","   25.49","   42.36","   20.30","   22.66","    4.25","   0.59","2011","43-419"
"144","Inspectors, testers, sorters, samplers, and weighers","608","675","396","792","212","541",647,"43.6","51-9061","   75.05","  243.27","  164.99","   60.17","   81.52","   18.76","   3.23","2011","51-906"
"145","Insurance claims and policy processing clerks","236","660","39","-","197","647",246,"41.7","43-9041","    4.18","   68.88","   85.85","   29.27","   47.97","    7.63","   2.21","2011","43-904"
"146","Insurance sales agents","384","807","183","1033","201","665",531,"45.8","41-3021","    6.37","   81.77","  141.78","   48.85","  207.09","   33.98","  11.15","2011","41-302"
"147","Interviewers, except eligibility and loan","121","546","21","-","99","551",153,"40.799999999999997","43-4111","    2.91","   34.43","   54.77","   20.20","   30.29","    8.11","   2.14","2011","43-411"
"148","Jewelers and precious stone and metal workers","14","-","7","-","7","-",41,"–","51-9071","    7.83","   12.46","    9.35","    3.08","    5.99","    1.97","   0.33","2011","51-907"
"149","Laundry and dry-cleaning workers","115","412","52","447","64","386",174,"44.6","51-6011","   66.29","   70.30","   23.14","    5.39","    7.83","    0.87","   0.17","2011","51-601"
"150","Librarians","139","850","21","-","118","813",198,"52","25-4021","    0.20","    0.40","   17.42","   10.30","   43.56","  116.23","   9.70","2011","25-402"
"151","Library assistants, clerical","49","-","12","-","38","-",113,"44.8","43-4121","    1.58","   21.36","   28.82","   11.87","   38.87","    9.38","   1.13","2011","43-412"
"152","Library technicians","13","-","3","-","10","-",37,"–","25-4031","    1.29","   12.99","    7.21","    3.44","    7.21","    4.25","   0.59","2011","25-403"
"153","Licensed practical and licensed vocational nurses","424","722","39","-","386","720",560,"43.2","29-2061","    5.60","  104.72","  325.92","   97.44","   20.72","    3.92","   1.68","2011","29-206"
"154","Loan interviewers and clerks","110","706","17","-","93","696",117,"40.4","43-4131","    2.46","   32.76","   43.17","   13.10","   23.17","    2.11","   0.23","2011","43-413"
"155","Lodging managers","91","883","36","-","55","841",148,"46.7","2623113","    5.62","   29.16","   38.48","   14.36","   44.99","   13.02","   2.37","2011","262311"
"156","Logisticians","77","864","50","938","27","-",88,"41.6","13-1081","    1.32","   12.23","   25.17","   12.50","   26.93","    9.33","   0.44","2011","13-108"
"157","Machinists","393","755","377","767","16","-",419,"45.6","51-4041","   42.32","  193.16","  126.12","   43.58","   11.31","    2.10","   0.42","2011","51-404"
"158","Mail clerks and mail machine operators, except postal service","79","521","38","-","41","-",93,"43.7","43-9051","    9.86","   38.13","   26.60","    7.72","    8.74","    1.58","   0.37","2011","43-905"
"159","Maintenance and repair workers, general","359","758","347","756","11","-",422,"48.4","49-9071","   59.08","  185.68","  107.19","   44.31","   21.10","    3.38","   0.42","2011","49-907"
"160","Management analysts","458","1355","250","1514","208","1174",707,"46.6","13-1111","    4.95","   33.94","   91.20","   34.64","  291.99","  202.91","  48.08","2011","13-111"
"161","Marine engineers and naval architects","6","-","6","-","1","-",9,"–","17-2121","    0.00","    0.89","    1.07","    0.82","    4.25","    1.74","   0.23","2011","17-212"
"162","Market research analysts and marketing specialists","167","1157","66","1446","101","1029",205,"36.4","13-1161","    1.23","    9.43","   25.21","   11.69","  104.34","   46.12","   6.77","2011","13-116"
"163","Massage therapists","34","-","6","-","28","-",146,"40.5","31-9011","    2.63","   27.16","   55.04","   23.07","   29.64","    5.40","   3.21","2011","31-901"
"164","Materials engineers","30","-","26","-","4","-",32,"–","17-2131","    0.00","    2.08","    3.07","    2.75","   15.87","    6.34","   1.92","2011","17-213"
"165","Mechanical engineers","306","1374","290","1399","16","-",322,"42.5","17-2141","    0.32","   15.13","   30.27","   36.71","  166.15","   64.08","   9.34","2011","17-214"
"166","Medical and health services managers","450","1252","125","1456","325","1166",529,"49.6","2634069","    4.76","   50.78","   86.23","   67.18","  162.93","  120.61","  36.50","2011","263406"
"167","Medical records and health information technicians","107","588","10","-","96","574",116,"42.7","29-2071","    2.44","   31.78","   41.76","   17.98","   18.33","    3.02","   0.93","2011","29-207"
