"","employment","total_number","total_median","men_number","men_median","women_number","women_median","Total","median","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year","code2"
"507","Accountants and auditors","1132","1464","1345","618","988","846",1789.5,"43.2","13-2011","    0.00","   76.95","  144.95","  162.84","  994.96","  359.69","  50.11","2015","13-201"
"508","Actors","–","12","–","8","–","4",41.5,"–","27-2011","    0.75","    5.48","    7.68","    3.40","   18.68","    4.73","   0.75","2015","27-201"
"509","Actuaries","–","24","–","18","–","6",27,"–","15-2011","    0.00","    0.00","    0.32","    0.19","   17.14","    6.37","   2.97","2015","15-201"
"510","Adhesive bonding machine operators and tenders","–","9","–","5","–","4",10.5,"–","51-9191","    1.82","    5.81","    2.29","    0.22","    0.32","    0.05","   0.00","2015","51-919"
"511","Administrative services managers","1191","170","1451","96","981","73",128.5,"49.4","406090","    2.57","   24.54","   35.34","   13.75","   37.65","   12.98","   1.80","2015","406090"
"512","Advertising and promotions managers","1050","55","–","29","–","26",64,"40.299999999999997","40848","    0.38","    2.82","    7.94","    2.69","   41.09","    7.74","   1.28","2015","40848"
"513","Advertising sales agents","925","161","1155","78","729","83",234,"39.299999999999997","41-3011","    2.81","   25.04","   49.61","   17.32","  117.23","   20.12","   2.11","2015","41-301"
"514","Aerospace engineers","1662","140","1668","122","–","18",131.5,"45.1","17-2011","    0.53","    2.76","    8.81","    6.18","   65.75","   41.16","   6.18","2015","17-201"
"515","Agents and business managers of artists, performers, and athletes","–","27","–","13","–","14",53,"37","13-1011","    1.32","    6.62","   10.60","    3.71","   23.16","    5.67","   1.91","2015","13-101"
"516","Agricultural and food science technicians","–","28","–","21","–","7",30,"–","19-4011","    2.46","    6.00","    9.18","    3.81","    6.84","    1.08","   0.63","2015","19-401"
"517","Agricultural inspectors","–","12","–","7","–","6",14,"–","45-2011","    1.19","    3.00","    3.33","    1.43","    4.14","    0.80","   0.11","2015","45-201"
"518","Aircraft mechanics and service technicians","1025","133","1032","125","–","7",157.5,"47.5","49-3011","    3.94","   39.22","   61.90","   33.55","   16.85","    1.42","   0.47","2015","49-301"
"519","Aircraft structure, surfaces, rigging, and systems assemblers","–","15","–","11","–","4",18.5,"–","51-2011","    1.94","    9.14","    5.16","    0.94","    0.94","    0.17","   0.18","2015","51-201"
"520","Ambulance drivers and attendants, except emergency medical technicians","–","18","–","14","–","4",18.5,"–","53-3011","    1.07","    6.81","    6.62","    1.46","    1.96","    0.48","   0.11","2015","53-301"
"521","Animal control workers","–","4","–","2","–","2",11,"–","33-9011","    0.30","    3.91","    4.39","    1.12","    1.19","    0.11","   0.00","2015","33-901"
"522","Animal trainers","–","26","–","19","–","8",40,"–","39-2011","    2.60","    9.64","   10.68","    4.44","   10.24","    2.00","   0.40","2015","39-201"
"523","Appraisers and assessors of real estate","–","42","–","21","–","21",95.5,"49.9","13-2021","    0.67","   10.12","   24.45","    8.79","   39.92","    9.45","   2.10","2015","13-202"
"524","Architectural and engineering managers","1899","110","1892","101","–","10",120.5,"49.7","2608503","    0.84","    4.34","    8.19","    5.42","   55.79","   38.92","   6.99","2015","260850"
"525","Atmospheric and space scientists","–","8","–","8","–","1",14.5,"–","19-2021","    0.00","    0.17","    0.94","    0.55","    7.05","    3.44","   2.35","2015","19-202"
"526","Audiologists","–","8","–","1","–","6",15,"–","29-1181","    0.00","    0.24","    0.34","    0.26","    1.41","    3.73","   9.02","2015","29-118"
"527","Automotive and watercraft service attendants","452","63","470","58","–","5",93,"27.3","53-6031","   16.27","   43.06","   22.04","    4.56","    5.58","    1.30","   0.19","2015","53-603"
"528","Automotive body and related repairers","846","120","849","118","–","2",154,"43.2","49-3021","   38.04","   73.00","   27.87","   10.47","    4.00","    0.46","   0.15","2015","49-302"
"529","Avionics technicians","–","4","–","4","–","0",12,"–","49-2091","    0.26","    2.53","    4.03","    3.55","    1.50","    0.10","   0.00","2015","49-209"
"530","Bakers","505","150","570","69","475","80",203,"39.1","51-3011","   47.50","   77.75","   42.43","   14.82","   17.66","    1.83","   1.02","2015","51-301"
"531","Barbers","–","46","–","33","–","12",118,"41.2","39-5011","   14.28","   55.93","   33.75","    8.02","    5.19","    0.71","   0.12","2015","39-501"
"532","Bartenders","521","252","569","110","493","142",414.5,"31.3","35-3011","   26.94","  117.30","  141.76","   42.28","   76.68","    7.46","   2.07","2015","35-301"
"533","Bill and account collectors","657","152","674","54","648","98",191.5,"39.4","43-3011","    6.89","   58.02","   68.94","   23.55","   28.92","    4.21","   0.96","2015","43-301"
"534","Billing and posting clerks","657","406","–","39","664","366",486,"44","43-3021","   11.66","  142.88","  160.87","   76.79","   76.79","   14.09","   2.43","2015","43-302"
"535","Biological technicians","–","20","–","10","–","10",20,"–","19-4021","    0.88","    3.52","    4.72","    3.20","    5.68","    1.02","   0.96","2015","19-402"
"536","Boilermakers","–","21","–","21","–","0",20.5,"–","47-2011","    2.69","   10.02","    5.37","    1.70","    0.55","    0.16","   0.00","2015","47-201"
"537","Bookkeeping, accounting, and auditing clerks","692","769","690","87","692","682",1254.5,"50","43-3031","   43.91","  350.01","  471.69","  139.25","  204.48","   40.14","   6.27","2015","43-303"
"538","Brokerage clerks","–","3","–","1","–","1",3.5,"–","43-4011","    0.04","    0.74","    0.84","    0.52","    1.17","    0.16","   0.05","2015","43-401"
"539","Budget analysts","–","44","–","17","–","28",58.5,"43.8","13-2031","    0.35","    3.98","    7.66","    4.21","   23.93","   16.20","   2.11","2015","13-203"
"540","Bus and truck mechanics and diesel engine specialists","831","327","830","327","–","0",316,"41.7","49-3031","   44.24","  144.41","   79.63","   37.29","    8.22","    1.26","   0.63","2015","49-303"
"541","Business operations specialists, all other","1090","186","1461","74","969","112",223,"43.7","13-1199","    3.57","   21.63","   37.46","   18.06","   88.09","   44.60","   9.59","2015","13-119"
"542","Buyers and purchasing agents, farm products","–","11","–","9","–","2",13.5,"–","13-1021","    1.67","    4.05","    2.46","    1.20","    3.19","    0.59","   0.34","2015","13-102"
"543","Cabinetmakers and bench carpenters","–","40","–","38","–","2",46,"–","51-7011","    8.79","   20.24","    8.92","    3.36","    4.00","    0.60","   0.05","2015","51-701"
"544","Cargo and freight agents","–","20","–","12","–","9",26.5,"–","43-5011","    0.93","    7.92","    9.20","    1.48","    6.23","    0.58","   0.19","2015","43-501"
"545","Carpenters","687","802","687","792","–","10",1193.5,"42.2","47-2031","  312.70","  503.66","  231.54","   65.64","   69.22","    8.35","   2.39","2015","47-203"
"546","Chefs and head cooks","619","340","656","285","492","55",414,"38.5","35-1011","   72.04","  124.61","   89.42","   72.86","   47.20","    6.21","   1.24","2015","35-101"
"547","Chemical engineers","1532","79","1583","69","–","10",66,"44.7","17-2041","    0.07","    1.85","    2.44","    2.05","   37.82","   16.83","   5.02","2015","17-204"
"548","Chemical technicians","944","75","–","43","–","32",65.5,"45.3","19-4031","    2.10","   14.93","   17.49","    7.27","   17.75","    3.73","   2.23","2015","19-403"
"549","Childcare workers","437","407","–","14","430","393",1272,"37.700000000000003","39-9011","  160.27","  395.59","  342.17","  133.56","  195.89","   36.89","   7.63","2015","39-901"
"550","Chiropractors","–","22","–","15","–","7",58,"44.4","29-1011","    0.35","    0.52","    0.46","    0.46","    2.73","    1.28","  52.26","2015","29-101"
"551","Civil engineers","1460","316","1474","275","–","41",359,"43.6","17-2051","    1.44","   11.49","   21.18","   17.23","  198.89","   94.06","  14.72","2015","17-205"
"552","Cleaners of vehicles and equipment","485","222","498","200","–","22",331.5,"31.1","53-7061","  102.43","  139.23","   56.69","   15.58","   14.25","    2.65","   0.66","2015","53-706"
"553","Clergy","1002","376","1021","316","924","60",409,"51.8","21-2011","   11.86","   24.95","   47.04","   17.18","  101.02","  145.60","  61.35","2015","21-201"
"554","Coin, vending, and amusement machine servicers and repairers","–","38","–","34","–","4",36.5,"–","49-9091","    2.41","   14.89","   10.48","    4.09","    3.87","    0.55","   0.22","2015","49-909"
"555","Combined food preparation and serving workers, including fast food","391","173","401","67","380","107",360,"27.6","35-3021","   69.12","  156.60","   84.24","   24.48","   21.24","    3.60","   0.36","2015","35-302"
"556","Communications equipment operators, all other","–","5","–","2","–","3",6,"–","43-2099","    0.00","    1.04","    1.68","    0.51","    1.97","    0.58","   0.22","2015","43-209"
"557","Compensation and benefits managers","–","23","–","7","–","16",13.5,"–","442614","    0.01","    0.86","    2.17","    1.08","    5.78","    3.32","   0.26","2015","442614"
"558","Compensation, benefits, and job analysis specialists","998","63","–","12","898","50",77,"43.6","13-1141","    0.31","    9.86","   16.71","    7.93","   32.11","    8.86","   1.23","2015","13-114"
"559","Compliance officers","1198","235","1375","126","1025","109",197,"48","13-1041","    2.17","   16.15","   37.63","   15.96","   76.04","   35.07","  13.99","2015","13-104"
"560","Computer and information research scientists","–","28","–","23","–","5",23.5,"–","15-1111","    0.05","    0.31","    0.49","    0.09","   10.25","    7.57","   4.75","2015","15-111"
"561","Computer and information systems managers","1728","636","1817","466","1563","169",603.5,"44.3","409743","    2.41","   25.95","   86.90","   48.88","  275.20","  147.86","  15.69","2015","409743"
"562","Computer hardware engineers","1876","72","1871","62","–","10",90.5,"41.7","17-2061","    0.09","    3.53","    9.50","    7.42","   42.99","   22.90","   3.98","2015","17-206"
"563","Computer occupations, all other","1227","490","1252","374","1145","116",375.5,"41.5","15-1199","    4.13","   27.04","   79.23","   55.20","  146.44","   58.20","   4.88","2015","15-119"
"564","Computer operators","751","58","–","25","–","33",98.5,"47.2","43-9011","    3.45","   21.47","   31.52","   11.82","   23.25","    6.01","   0.89","2015","43-901"
"565","Computer programmers","1438","450","1501","357","1302","93",484.5,"42.8","15-1131","    2.42","   20.35","   66.38","   40.70","  248.06","   94.48","  11.63","2015","15-113"
"566","Computer systems analysts","1389","499","1462","325","1256","173",516.5,"41.6","15-1121","    2.58","   23.76","   70.24","   41.32","  243.79","  120.86","  14.46","2015","15-112"
"567","Computer, automated teller, and office machine repairers","856","194","865","166","–","28",290.5,"42","49-2011","    6.68","   52.87","   89.47","   61.88","   65.36","   11.91","   2.32","2015","49-201"
"568","Construction and building inspectors","939","67","965","58","–","9",109.5,"53.3","47-4011","    2.19","   28.03","   32.63","   16.97","   22.89","    5.26","   1.42","2015","47-401"
"569","Construction laborers","639","1181","642","1155","–","25",1461.5,"38.799999999999997","47-2061","  485.22","  594.83","  241.15","   61.38","   67.23","    8.77","   1.46","2015","47-206"
"570","Construction managers","1329","471","1357","429","–","42",902,"46.9","2601198","   57.73","  233.62","  228.21","   74.87","  247.15","   53.22","   8.12","2015","260119"
"571","Cost estimators","1232","95","1264","83","–","12",118.5,"46.7","13-1051","    2.84","   26.31","   35.31","   13.63","   34.25","    5.33","   0.71","2015","13-105"
"572","Counter and rental clerks","594","73","–","35","–","37",120,"44.1","41-2021","   12.24","   48.00","   30.00","    9.84","   17.52","    2.16","   0.12","2015","41-202"
"573","Couriers and messengers","752","153","750","134","–","19",205.5,"46.1","43-5021","   18.08","   75.01","   64.32","   18.91","   24.45","    4.32","   0.41","2015","43-502"
"574","Court, municipal, and license clerks","755","60","–","9","743","51",83,"48.4","43-4031","    1.25","   22.74","   26.14","   12.12","   17.18","    2.16","   1.58","2015","43-403"
"575","Crane and tower operators","988","75","1016","71","–","4",67,"45.1","53-7021","   11.72","   32.90","   16.55","    3.02","    2.35","    0.47","   0.07","2015","53-702"
"576","Credit analysts","–","17","–","8","–","9",30,"–","13-2041","    0.15","    3.00","    5.22","    2.28","   13.44","    5.52","   0.36","2015","13-204"
"577","Credit authorizers, checkers, and clerks","–","42","–","12","–","29",41.5,"–","43-4041","    0.58","   11.45","   12.20","    5.64","    8.92","    2.53","   0.21","2015","43-404"
"578","Crossing guards","–","26","–","13","–","13",61,"50.2","33-9091","   10.25","   27.82","   14.34","    3.84","    3.60","    1.04","   0.12","2015","33-909"
"579","Customer service representatives","621","1760","690","611","604","1149",2012.5,"36.700000000000003","43-4051","   78.49","  527.27","  646.01","  233.45","  436.71","   80.50","  10.06","2015","43-405"
"580","Data entry keyers","619","223","589","55","638","169",322,"41.9","43-9021","    9.66","   87.58","  108.51","   42.18","   61.18","   11.91","   1.29","2015","43-902"
"581","Database administrators","1536","90","1829","58","–","32",99.5,"42","15-1141","    0.50","    5.87","   13.13","    8.16","   45.47","   23.48","   2.79","2015","15-114"
"582","Dental assistants","531","188","–","14","522","175",276.5,"36.799999999999997","31-9091","    8.85","   69.95","  109.22","   56.68","   24.89","    2.21","   4.42","2015","31-909"
"583","Dental hygienists","914","86","–","6","953","80",173.5,"43.9","29-2021","    0.87","    4.16","   13.01","   90.39","   55.17","    5.38","   4.68","2015","29-202"
"584","Detectives and criminal investigators","1159","141","1265","100","–","41",159,"43.5","33-3021","    0.95","    9.86","   38.48","   17.17","   66.78","   21.46","   4.45","2015","33-302"
"585","Dietitians and nutritionists","886","79","–","9","879","69",113,"45.5","29-1031","    3.39","   13.56","    9.83","    5.76","   42.04","   31.64","   6.78","2015","29-103"
"586","Directors, religious activities and education","929","62","–","31","–","31",59,"45","21-2021","    0.71","    6.08","    9.79","    4.01","   21.71","   13.69","   3.01","2015","21-202"
"587","Dishwashers","398","117","401","98","–","19",286,"29","35-9021","  126.70","  109.25","   29.17","    8.29","    9.15","    2.29","   0.57","2015","35-902"
"588","Door-to-door sales workers, news and street vendors, and related workers","–","28","–","9","–","18",194.5,"46.7","41-9091","   25.67","   59.91","   45.90","   18.67","   35.40","    7.39","   1.56","2015","41-909"
"589","Earth drillers, except oil and gas","–","30","–","30","–","0",34,"–","47-5021","    5.98","   17.54","    6.97","    2.21","    1.26","    0.00","   0.00","2015","47-502"
"590","Economists","–","29","–","17","–","12",30,"–","19-3011","    0.00","    0.00","    0.00","    0.00","    6.84","   14.31","   8.85","2015","19-301"
"591","Editors","1148","108","1205","58","1125","50",154.5,"40","27-3041","    0.77","    4.79","   17.00","    5.10","   86.83","   30.90","   9.12","2015","27-304"
"592","Electrical power-line installers and repairers","1105","113","1105","112","–","0",113.5,"38.9","49-9051","    4.99","   46.19","   36.43","   16.57","    8.06","    1.25","   0.00","2015","49-905"
"593","Electricians","888","651","891","632","–","19",711,"42.8","47-2111","   53.33","  268.05","  223.97","  110.20","   46.93","    6.40","   2.13","2015","47-211"
"594","Elevator installers and repairers","–","23","–","23","–","0",26.5,"–","47-4021","    0.90","   13.17","    8.00","    3.18","    1.19","    0.05","   0.00","2015","47-402"
"595","Eligibility interviewers, government programs","781","67","–","17","805","50",83.5,"45.1","43-4061","    1.17","   11.77","   22.04","   12.36","   29.64","    6.01","   0.58","2015","43-406"
"596","Emergency management directors","–","9","–","6","–","3",6.5,"–","2652332","    0.00","    0.23","    1.35","    0.88","    2.65","    1.33","   0.07","2015","265233"
"597","Emergency medical technicians and paramedics","811","175","899","126","–","49",174,"34.6","29-2041","    1.04","   22.27","   77.78","   38.80","   29.23","    4.00","   0.87","2015","29-204"
"598","Engine and other machine assemblers","–","14","–","12","–","2",26,"–","51-2031","    3.87","   10.76","    6.94","    2.96","    1.20","    0.00","   0.26","2015","51-203"
"599","Entertainers and performers, sports and related workers, all other","–","14","–","11","–","3",38,"–","27-2099","    1.44","    6.99","   11.40","    2.17","   12.20","    2.62","   1.18","2015","27-209"
"600","Environmental engineers","–","35","–","26","–","9",38,"–","17-2081","    0.15","    1.67","    1.86","    1.22","   18.35","   12.88","   1.86","2015","17-208"
"601","Explosives workers, ordnance handling experts, and blasters","–","5","–","5","–","0",8,"–","47-5031","    0.75","    3.10","    2.62","    0.64","    0.77","    0.10","   0.03","2015","47-503"
"602","Extruding and drawing machine setters, operators, and tenders, metal and plastic","–","8","–","7","–","1",11.5,"–","51-4021","    1.53","    6.08","    2.99","    0.60","    0.26","    0.03","   0.00","2015","51-402"
"603","Extruding, forming, pressing, and compacting machine setters, operators, and tenders","–","31","–","25","–","6",35.5,"–","51-9041","    6.60","   18.35","    7.17","    1.56","    1.10","    0.50","   0.21","2015","51-904"
"604","Farmers, ranchers, and other agricultural managers","769","129","847","106","–","23",936.5,"56.1","2598276","   98.33","  344.63","  191.05","   86.16","  179.81","   27.16","   9.37","2015","259827"
"605","Fence erectors","–","33","–","33","–","0",34,"–","47-4031","   13.26","   12.99","    5.44","    0.95","    0.82","    0.41","   0.14","2015","47-403"
"606","File clerks","634","145","–","25","627","120",274.5,"40.799999999999997","43-4071","    9.33","   82.35","   84.82","   32.12","   51.33","   12.63","   1.65","2015","43-407"
"607","Financial analysts","1426","295","1680","168","1171","127",97,"38.700000000000003","13-2051","    0.29","    1.94","    5.72","    3.10","   50.25","   32.01","   3.69","2015","13-205"
"608","Financial clerks, all other","767","61","–","30","–","32",53.5,"42.7","43-3099","    0.64","    8.72","   13.21","    5.08","   17.87","    7.44","   0.54","2015","43-309"
"609","Financial examiners","–","17","–","9","–","8",14,"–","13-2061","    0.00","    0.92","    0.69","    0.91","    7.87","    3.33","   0.29","2015","13-206"
"610","Financial managers","1408","1124","1732","551","1130","573",1223,"43.8","413395","   13.45","  122.30","  225.03","   95.39","  495.31","  240.93","  31.80","2015","413395"
"611","Financial specialists, all other","1162","66","–","25","–","40",88,"40.5","13-2099","    0.97","    9.86","   14.52","    6.78","   36.43","   17.25","   2.29","2015","13-209"
"612","Firefighters","1033","260","1052","245","–","16",300.5,"40.1","33-2011","    2.10","   45.38","  121.70","   64.91","   59.20","    6.31","   1.20","2015","33-201"
"613","First-line supervisors of construction trades and extraction workers","1040","560","1047","540","–","20",632.5,"46.2","47-1011","   91.71","  261.22","  160.66","   44.91","   61.98","   10.12","   2.53","2015","47-101"
"614","First-line supervisors of correctional officers","856","57","–","41","–","16",41,"–","33-1011","    0.41","   10.74","   13.73","    5.78","    8.12","    2.01","   0.29","2015","33-101"
"615","First-line supervisors of farming, fishing, and forestry workers","–","42","–","32","–","10",49,"–","45-1011","   15.04","   15.78","    7.64","    2.89","    6.22","    1.13","   0.20","2015","45-101"
"616","First-line supervisors of fire fighting and prevention workers","–","42","–","39","–","3",61,"45.6","33-1021","    0.24","    8.36","   22.20","   13.18","   13.30","    3.23","   0.43","2015","33-102"
"617","First-line supervisors of housekeeping and janitorial workers","620","172","700","108","571","64",299.5,"48.6","37-1011","   45.22","  113.81","   74.28","   25.46","   32.35","    6.59","   1.80","2015","37-101"
"618","First-line supervisors of mechanics, installers, and repairers","1032","270","1033","252","–","18",279,"48.1","49-1011","   18.14","   97.65","   84.82","   36.83","   34.04","    6.42","   1.12","2015","49-101"
"619","First-line supervisors of office and administrative support workers","812","1297","878","434","781","863",1389.5,"45.7","43-1011","   37.52","  308.47","  398.79","  161.18","  358.49","  105.60","  19.45","2015","43-101"
"620","First-line supervisors of personal service workers","608","60","–","25","–","35",237,"44.7","39-1021","   10.67","   62.33","   74.18","   30.34","   50.01","    7.82","   1.42","2015","39-102"
"621","First-line supervisors of production and operating workers","875","783","924","650","623","133",769.5,"47.2","51-1011","   78.49","  290.87","  203.15","   69.25","   98.50","   23.85","   5.39","2015","51-101"
"622","First-line supervisors of protective service workers, all other","808","72","825","56","–","16",96.5,"47","33-1099","    1.54","   22.68","   28.37","   10.90","   21.71","   10.04","   1.35","2015","33-109"
"623","First-line supervisors of retail sales workers","711","2326","825","1296","614","1030",3230,"43","41-1011","  187.34","  943.16","  933.47","  313.31","  697.68","  122.74","  32.30","2015","41-101"
"624","Flight attendants","846","63","–","20","–","43",88.5,"49.4","53-2031","    1.24","   10.71","   29.91","   12.21","   29.12","    4.07","   1.33","2015","53-203"
"625","Food and tobacco roasting, baking, and drying machine operators and tenders","–","9","–","7","–","1",10.5,"–","51-3091","    2.39","    4.00","    2.72","    0.41","    0.81","    0.10","   0.06","2015","51-309"
"626","Food preparation workers","402","366","414","174","388","192",876.5,"27.8","35-2021","  237.53","  321.68","  185.82","   52.59","   65.74","   10.52","   2.63","2015","35-202"
"627","Food servers, nonrestaurant","509","93","–","31","485","62",223,"33.200000000000003","35-3041","   35.01","   96.78","   52.18","   16.50","   18.96","    2.68","   0.67","2015","35-304"
"628","Food service managers","742","763","820","389","680","374",1081,"40","2612155","   95.13","  309.17","  301.60","  102.70","  229.17","   36.75","   6.49","2015","261215"
"629","Forest and conservation workers","–","15","–","10","–","5",13.5,"–","45-4011","    3.48","    3.46","    2.16","    1.57","    2.50","    0.30","   0.07","2015","45-401"
"630","Fundraisers","1136","62","–","14","–","48",83.5,"42.9","13-1131","    0.42","    2.59","    6.76","    2.92","   44.92","   22.13","   3.76","2015","13-113"
"631","Furnace, kiln, oven, drier, and kettle operators and tenders","–","6","–","5","–","0",15.5,"–","51-9051","    4.03","    6.84","    3.10","    0.73","    0.79","    0.00","   0.02","2015","51-905"
"632","Furniture finishers","–","6","–","6","–","0",7,"–","51-7021","    1.83","    2.85","    1.41","    0.25","    0.52","    0.13","   0.00","2015","51-702"
"633","Gaming cage workers","–","11","–","2","–","10",11,"–","43-3041","    1.01","    4.30","    3.05","    0.95","    1.60","    0.11","   0.00","2015","43-304"
"634","Gaming managers","–","19","–","13","–","6",21.5,"–","2619460","    0.77","    5.25","    7.03","    2.47","    4.62","    1.14","   0.19","2015","261946"
"635","General and operations managers","1260","823","1347","621","1002","202",1069.5,"45.6","11-1021","   24.60","  182.88","  277.00","  104.81","  347.59","  116.58","  16.04","2015","11-102"
"636","Glaziers","–","33","–","32","–","0",41.5,"–","47-2121","    8.51","   20.21","    9.05","    2.24","    1.29","    0.21","   0.00","2015","47-212"
"637","Graders and sorters, agricultural products","486","83","–","32","468","51",106,"42.4","45-2041","   58.09","   30.63","    9.43","    3.07","    4.13","    0.11","   0.53","2015","45-204"
"638","Hazardous materials removal workers","–","39","–","35","–","5",35,"–","47-4041","    8.33","   12.98","    8.02","    2.17","    2.52","    0.88","   0.10","2015","47-404"
"639","Health diagnosing and treating practitioners, all other","–","2","–","0","–","2",24,"–","29-1199","    0.29","    0.67","    1.75","    0.77","    4.63","    9.24","   6.67","2015","29-119"
"640","Heating, air conditioning, and refrigeration mechanics and installers","806","341","810","337","–","4",362,"41.1","49-9021","   39.46","  144.80","  107.51","   50.68","   16.65","    2.17","   0.72","2015","49-902"
"641","Highway maintenance workers","754","91","755","91","–","0",102.5,"48.1","47-4051","   12.92","   59.55","   19.48","    5.95","    3.69","    1.02","   0.00","2015","47-405"
"642","Home appliance repairers","–","36","–","36","–","0",49.5,"48.2","49-9031","    5.94","   19.80","   14.55","    6.09","    2.48","    0.50","   0.10","2015","49-903"
"643","Hosts and hostesses, restaurant, lounge, and coffee shop","400","66","–","8","397","58",279.5,"21.8","35-9031","   31.86","  104.53","   72.67","   18.73","   41.65","    8.11","   1.96","2015","35-903"
"644","Hotel, motel, and resort desk clerks","481","127","486","58","467","69",111,"30.1","43-4081","    6.99","   30.08","   39.52","   12.32","   18.76","    2.89","   0.56","2015","43-408"
"645","Human resources assistants, except payroll and timekeeping","737","50","–","11","–","40",132.5,"42.6","43-4161","    2.25","   28.89","   49.82","   15.24","   26.90","    9.01","   0.40","2015","43-416"
"646","Human resources managers","1365","254","1495","68","1274","186",221.5,"44.3","446267","    5.32","   25.92","   39.87","   19.05","   82.18","   43.19","   5.98","2015","446267"
"647","Industrial production managers","1485","267","1528","221","–","45",258.5,"47.6","420700","   10.86","   52.48","   56.09","   19.65","   83.75","   32.83","   2.84","2015","420700"
"648","Industrial truck and tractor operators","609","579","612","541","–","37",547,"40","53-7051","  120.34","  279.52","  107.76","   22.43","   14.77","    1.64","   0.00","2015","53-705"
"649","Information and record clerks, all other","618","100","–","22","616","78",103.5,"44.2","43-4199","    2.28","   20.08","   33.33","   17.28","   22.98","    6.11","   1.55","2015","43-419"
"650","Inspectors, testers, sorters, samplers, and weighers","710","701","844","440","583","260",687.5,"43.8","51-9061","   73.56","  249.56","  181.50","   68.75","   90.06","   19.25","   4.12","2015","51-906"
"651","Insurance claims and policy processing clerks","689","259","762","56","675","203",258.5,"41.5","43-9041","    4.14","   63.59","   87.89","   31.54","   61.26","    8.53","   1.55","2015","43-904"
"652","Insurance sales agents","815","427","1028","194","717","232",571,"45.6","41-3021","    8.56","   82.22","  154.17","   57.10","  219.26","   39.97","   9.14","2015","41-302"
"653","Interviewers, except eligibility and loan","615","105","–","16","617","89",140.5,"42.2","43-4111","    3.23","   30.21","   47.91","   20.23","   27.40","    9.13","   2.39","2015","43-411"
"654","Jewelers and precious stone and metal workers","–","19","–","11","–","7",50,"48.6","51-9071","    9.05","   15.30","   11.15","    3.35","    9.55","    1.10","   0.55","2015","51-907"
"655","Laundry and dry-cleaning workers","466","133","487","53","460","80",176,"43.2","51-6011","   57.90","   73.04","   28.34","    6.69","    8.27","    1.41","   0.35","2015","51-601"
"656","Librarians","991","130","–","27","966","102",187.5,"50.5","25-4021","    0.75","    3.56","   15.37","    9.38","   44.62","  105.19","   9.00","2015","25-402"
"657","Library assistants, clerical","–","35","–","7","–","28",92,"39.4","43-4121","    1.47","   16.47","   24.66","   10.67","   28.06","    8.92","   1.66","2015","43-412"
"658","Library technicians","–","18","–","4","–","15",42,"–","25-4031","    1.09","   15.46","    7.73","    3.28","    9.74","    4.54","   0.21","2015","25-403"
"659","Licensed practical and licensed vocational nurses","743","508","–","48","737","459",544.5,"43.8","29-2061","    8.17","  122.51","  294.03","   94.20","   20.69","    3.27","   2.18","2015","29-206"
"660","Loan interviewers and clerks","710","134","–","25","722","109",156,"39.9","43-4131","    3.12","   40.40","   54.60","   19.03","   32.76","    5.46","   0.47","2015","43-413"
"661","Lodging managers","985","123","1171","54","902","68",148.5,"47.1","2623113","    4.46","   28.07","   37.27","   15.00","   48.41","   13.22","   1.93","2015","262311"
"662","Logisticians","1028","111","1075","66","–","44",91,"46.1","13-1081","    1.18","   13.20","   25.21","   11.56","   31.12","    7.92","   0.73","2015","13-108"
"663","Machinists","834","338","840","320","–","17",397.5,"46.2","51-4041","   42.53","  180.07","  110.90","   47.30","   15.11","    1.19","   0.40","2015","51-404"
"664","Mail clerks and mail machine operators, except postal service","563","63","–","24","–","39",78,"50","43-9051","    5.62","   33.07","   23.17","    6.86","    7.72","    1.33","   0.23","2015","43-905"
"665","Maintenance and repair workers, general","773","469","771","459","–","10",452,"47.9","49-9071","   63.28","  183.06","  122.49","   47.46","   29.38","    4.97","   0.90","2015","49-907"
"666","Management analysts","1431","529","1519","291","1348","237",792,"47.2","13-1111","    5.54","   38.81","   95.83","   41.18","  333.43","  224.93","  53.06","2015","13-111"
"667","Marine engineers and naval architects","–","9","–","9","–","0",9.5,"–","17-2121","    0.17","    0.85","    1.03","    0.71","    4.59","    1.87","   0.29","2015","17-212"
"668","Market research analysts and marketing specialists","1284","203","1411","85","1239","118",230,"38.5","13-1161","    2.07","    9.66","   23.00","   10.35","  124.43","   53.82","   6.67","2015","13-116"
"669","Massage therapists","–","37","–","16","–","22",165,"41.8","31-9011","    4.79","   30.69","   58.08","   28.22","   33.00","    6.60","   3.63","2015","31-901"
"670","Materials engineers","–","36","–","33","–","4",43,"–","17-2131","    0.30","    2.28","    5.63","    4.04","   19.52","    7.83","   3.44","2015","17-213"
"671","Mechanical engineers","1534","316","1550","294","–","23",307.5,"42.4","17-2141","    1.84","   14.14","   29.21","   28.60","  158.67","   64.27","  10.46","2015","17-214"
"672","Medical and health services managers","1210","592","1422","154","1156","438",585,"48.3","2634069","    7.02","   48.55","   91.26","   66.11","  188.37","  136.89","  47.38","2015","263406"
"673","Medical records and health information technicians","740","174","–","17","723","157",89,"49.8","29-2071","    1.25","   18.87","   29.37","   20.47","   15.58","    2.76","   0.80","2015","29-207"
"674","Meeting, convention, and event planners","859","117","–","27","840","90",128.5,"37.6","13-1121","    1.54","   12.72","   25.31","    9.77","   64.51","   13.88","   0.77","2015","13-112"
