"","employment","median_salary","men_median","women_median","Total","median_age","code","year","code2","degrees","number","edu"
"4053","Automotive and watercraft service attendants","78","67","12",93,"27.3","53-6031","2013","53-603","master",0.74,"college+"
"4054","Automotive body and related repairers","124","123","1",154,"43.2","49-3021","2013","49-302","master",0.31,"college+"
"4055","Avionics technicians","10","6","4",12,"–","49-2091","2013","49-209","master",0.06,"college+"
"4056","Bakers","117","56","61",203,"39.1","51-3011","2013","51-301","master",2.84,"college+"
"4057","Barbers","60","51","9",118,"41.2","39-5011","2013","39-501","master",0.35,"college+"
"4058","Bartenders","207","98","109",414.5,"31.3","35-3011","2013","35-301","master",7.88,"college+"
"4059","Bill and account collectors","156","45","111",191.5,"39.4","43-3011","2013","43-301","master",4.98,"college+"
"4060","Billing and posting clerks","422","42","380",486,"44","43-3021","2013","43-302","master",12.15,"college+"
"4061","Biological technicians","16","9","8",20,"–","19-4021","2013","19-402","master",1.48,"college+"
"4062","Boilermakers","14","14","0",20.5,"–","47-2011","2013","47-201","master",0.08,"college+"
"4063","Bookkeeping, accounting, and auditing clerks","804","102","702",1254.5,"50","43-3031","2013","43-303","master",38.89,"college+"
"4064","Brokerage clerks","2","1","1",3.5,"–","43-4011","2013","43-401","master",0.04,"college+"
"4065","Budget analysts","58","31","26",58.5,"43.8","13-2031","2013","13-203","master",15.27,"college+"
"4066","Bus and truck mechanics and diesel engine specialists","302","301","0",316,"41.7","49-3031","2013","49-303","master",1.58,"college+"
"4067","Business operations specialists, all other","180","69","110",223,"43.7","13-1199","2013","13-119","master",38.58,"college+"
"4068","Buyers and purchasing agents, farm products","17","11","5",13.5,"–","13-1021","2013","13-102","master",0.85,"college+"
"4069","Cabinetmakers and bench carpenters","28","27","0",46,"–","51-7011","2013","51-701","master",0.37,"college+"
"4070","Cargo and freight agents","26","17","9",26.5,"–","43-5011","2013","43-501","master",0.74,"college+"
"4071","Carpenters","712","703","10",1193.5,"42.2","47-2031","2013","47-203","master",9.55,"college+"
"4072","Chefs and head cooks","351","282","69",414,"38.5","35-1011","2013","35-101","master",4.97,"college+"
"4073","Chemical engineers","56","48","8",66,"44.7","17-2041","2013","17-204","master",13.66,"college+"
"4074","Chemical technicians","62","41","21",65.5,"45.3","19-4031","2013","19-403","master",4.45,"college+"
"4075","Childcare workers","441","31","410",1272,"37.700000000000003","39-9011","2013","39-901","master",39.43,"college+"
"4076","Chiropractors","13","12","1",58,"44.4","29-1011","2013","29-101","master",1.39,"college+"
"4077","Civil engineers","324","288","36",359,"43.6","17-2051","2013","17-205","master",92.26,"college+"
"4078","Cleaners of vehicles and equipment","235","206","28",331.5,"31.1","53-7061","2013","53-706","master",0.99,"college+"
"4079","Clergy","343","296","47",409,"51.8","21-2011","2013","21-201","master",142.74,"college+"
"4080","Coin, vending, and amusement machine servicers and repairers","32","28","4",36.5,"–","49-9091","2013","49-909","master",0.55,"college+"
"4081","Combined food preparation and serving workers, including fast food","175","68","107",360,"27.6","35-3021","2013","35-302","master",2.88,"college+"
"4082","Communications equipment operators, all other","2","0","2",6,"–","43-2099","2013","43-209","master",0.63,"college+"
"4083","Compensation and benefits managers","11","3","8",13.5,"–","442614","2013","442614","master",2.56,"college+"
"4084","Compensation, benefits, and job analysis specialists","72","14","59",77,"43.6","13-1141","2013","13-114","master",9.39,"college+"
"4085","Compliance officers","182","83","99",197,"48","13-1041","2013","13-104","master",31.32,"college+"
"4086","Computer and information research scientists","15","12","3",23.5,"–","15-1111","2013","15-111","master",6.58,"college+"
"4087","Computer and information systems managers","570","407","163",603.5,"44.3","409743","2013","409743","master",145.44,"college+"
"4088","Computer hardware engineers","92","82","10",90.5,"41.7","17-2061","2013","17-206","master",23.08,"college+"
"4089","Computer occupations, all other","359","277","81",375.5,"41.5","15-1199","2013","15-119","master",54.07,"college+"
"4090","Computer operators","80","41","39",98.5,"47.2","43-9011","2013","43-901","master",5.71,"college+"
"4091","Computer programmers","437","332","106",484.5,"42.8","15-1131","2013","15-113","master",94.96,"college+"
"4092","Computer systems analysts","443","285","158",516.5,"41.6","15-1121","2013","15-112","master",114.15,"college+"
"4093","Computer, automated teller, and office machine repairers","240","211","29",290.5,"42","49-2011","2013","49-201","master",11.62,"college+"
"4094","Construction and building inspectors","73","67","5",109.5,"53.3","47-4011","2013","47-401","master",5.15,"college+"
"4095","Construction laborers","1087","1058","29",1461.5,"38.799999999999997","47-2061","2013","47-206","master",10.23,"college+"
"4096","Construction managers","414","376","38",902,"46.9","2601198","2013","260119","master",47.81,"college+"
"4097","Cost estimators","102","89","13",118.5,"46.7","13-1051","2013","13-105","master",4.62,"college+"
"4098","Counter and rental clerks","58","35","24",120,"44.1","41-2021","2013","41-202","master",1.68,"college+"
"4099","Couriers and messengers","127","112","16",205.5,"46.1","43-5021","2013","43-502","master",3.29,"college+"
"4100","Court, municipal, and license clerks","74","21","53",83,"48.4","43-4031","2013","43-403","master",1.83,"college+"
"4101","Crane and tower operators","70","69","1",67,"45.1","53-7021","2013","53-702","master",0.07,"college+"
"4102","Credit analysts","31","12","19",30,"–","13-2041","2013","13-204","master",4.59,"college+"
"4103","Credit authorizers, checkers, and clerks","40","10","30",41.5,"–","43-4041","2013","43-404","master",2.12,"college+"
"4104","Crossing guards","14","7","7",61,"50.2","33-9091","2013","33-909","master",0.92,"college+"
"4105","Customer service representatives","1615","547","1068",2012.5,"36.700000000000003","43-4051","2013","43-405","master",68.42,"college+"
"4106","Data entry keyers","235","46","189",322,"41.9","43-9021","2013","43-902","master",9.66,"college+"
"4107","Database administrators","95","65","30",99.5,"42","15-1141","2013","15-114","master",21.39,"college+"
"4108","Dental assistants","181","7","174",276.5,"36.799999999999997","31-9091","2013","31-909","master",1.38,"college+"
"4109","Dental hygienists","82","2","80",173.5,"43.9","29-2021","2013","29-202","master",3.47,"college+"
"4110","Detectives and criminal investigators","159","128","30",159,"43.5","33-3021","2013","33-302","master",20.83,"college+"
"4111","Dietitians and nutritionists","82","10","71",113,"45.5","29-1031","2013","29-103","master",29.83,"college+"
"4112","Directors, religious activities and education","41","20","21",59,"45","21-2021","2013","21-202","master",13.81,"college+"
"4113","Dishwashers","127","106","21",286,"29","35-9021","2013","35-902","master",1.14,"college+"
"4114","Door-to-door sales workers, news and street vendors, and related workers","34","23","11",194.5,"46.7","41-9091","2013","41-909","master",6.03,"college+"
"4115","Earth drillers, except oil and gas","26","26","0",34,"–","47-5021","2013","47-502","master",0.17,"college+"
"4116","Economists","29","15","14",30,"–","19-3011","2013","19-301","master",11.16,"college+"
"4117","Editors","112","53","59",154.5,"40","27-3041","2013","27-304","master",29.82,"college+"
"4118","Electrical power-line installers and repairers","113","112","1",113.5,"38.9","49-9051","2013","49-905","master",0.34,"college+"
"4119","Electricians","641","630","11",711,"42.8","47-2111","2013","47-211","master",5.69,"college+"
"4120","Elevator installers and repairers","25","25","0",26.5,"–","47-4021","2013","47-402","master",0.05,"college+"
"4121","Eligibility interviewers, government programs","75","15","60",83.5,"45.1","43-4061","2013","43-406","master",7.52,"college+"
"4122","Emergency management directors","9","6","3",6.5,"–","2652332","2013","265233","master",1.54,"college+"
"4123","Emergency medical technicians and paramedics","140","82","58",174,"34.6","29-2041","2013","29-204","master",2.78,"college+"
"4124","Engine and other machine assemblers","19","17","2",26,"–","51-2031","2013","51-203","master",0.08,"college+"
"4125","Entertainers and performers, sports and related workers, all other","9","2","7",38,"–","27-2099","2013","27-209","master",2.17,"college+"
"4126","Environmental engineers","28","22","6",38,"–","17-2081","2013","17-208","master",10.91,"college+"
"4127","Explosives workers, ordnance handling experts, and blasters","8","8","0",8,"–","47-5031","2013","47-503","master",0.29,"college+"
"4128","Extruding and drawing machine setters, operators, and tenders, metal and plastic","16","14","2",11.5,"–","51-4021","2013","51-402","master",0,"college+"
"4129","Extruding, forming, pressing, and compacting machine setters, operators, and tenders","31","26","5",35.5,"–","51-9041","2013","51-904","master",0,"college+"
"4130","Farmers, ranchers, and other agricultural managers","97","78","19",936.5,"56.1","2598276","2013","259827","master",28.09,"college+"
"4131","Fence erectors","24","24","0",34,"–","47-4031","2013","47-403","master",0.03,"college+"
"4132","File clerks","182","42","140",274.5,"40.799999999999997","43-4071","2013","43-407","master",10.98,"college+"
"4133","Financial analysts","89","56","33",97,"38.700000000000003","13-2051","2013","13-205","master",34.53,"college+"
"4134","Financial clerks, all other","54","20","34",53.5,"42.7","43-3099","2013","43-309","master",7.28,"college+"
"4135","Financial examiners","10","4","6",14,"–","13-2061","2013","13-206","master",2.72,"college+"
"4136","Financial managers","1127","514","613",1223,"43.8","413395","2013","413395","master",229.92,"college+"
"4137","Financial specialists, all other","87","38","49",88,"40.5","13-2099","2013","13-209","master",20.15,"college+"
"4138","Firefighters","294","285","9",300.5,"40.1","33-2011","2013","33-201","master",5.41,"college+"
"4139","First-line supervisors of construction trades and extraction workers","509","501","8",632.5,"46.2","47-1011","2013","47-101","master",8.86,"college+"
"4140","First-line supervisors of correctional officers","33","28","5",41,"–","33-1011","2013","33-101","master",2.79,"college+"
"4141","First-line supervisors of farming, fishing, and forestry workers","34","25","8",49,"–","45-1011","2013","45-101","master",1.27,"college+"
"4142","First-line supervisors of fire fighting and prevention workers","60","60","0",61,"45.6","33-1021","2013","33-102","master",3.72,"college+"
"4143","First-line supervisors of housekeeping and janitorial workers","186","108","78",299.5,"48.6","37-1011","2013","37-101","master",4.19,"college+"
"4144","First-line supervisors of mechanics, installers, and repairers","258","229","29",279,"48.1","49-1011","2013","49-101","master",7.25,"college+"
"4145","First-line supervisors of office and administrative support workers","1224","395","828",1389.5,"45.7","43-1011","2013","43-101","master",95.88,"college+"
"4146","First-line supervisors of personal service workers","72","28","44",237,"44.7","39-1021","2013","39-102","master",11.85,"college+"
"4147","First-line supervisors of production and operating workers","675","550","125",769.5,"47.2","51-1011","2013","51-101","master",23.09,"college+"
"4148","First-line supervisors of protective service workers, all other","82","57","25",96.5,"47","33-1099","2013","33-109","master",7.24,"college+"
"4149","First-line supervisors of retail sales workers","2320","1338","981",3230,"43","41-1011","2013","41-101","master",122.74,"college+"
"4150","Flight attendants","69","16","54",88.5,"49.4","53-2031","2013","53-203","master",3.36,"college+"
"4151","Food and tobacco roasting, baking, and drying machine operators and tenders","6","4","2",10.5,"–","51-3091","2013","51-309","master",0.17,"college+"
"4152","Food preparation workers","398","206","191",876.5,"27.8","35-2021","2013","35-202","master",9.64,"college+"
"4153","Food servers, nonrestaurant","109","36","74",223,"33.200000000000003","35-3041","2013","35-304","master",1.56,"college+"
"4154","Food service managers","716","381","335",1081,"40","2612155","2013","261215","master",34.59,"college+"
"4155","Forest and conservation workers","11","10","1",13.5,"–","45-4011","2013","45-401","master",0.53,"college+"
"4156","Fundraisers","80","22","58",83.5,"42.9","13-1131","2013","13-113","master",25.3,"college+"
"4157","Furnace, kiln, oven, drier, and kettle operators and tenders","10","10","0",15.5,"–","51-9051","2013","51-905","master",0.28,"college+"
"4158","Furniture finishers","5","4","1",7,"–","51-7021","2013","51-702","master",0.1,"college+"
"4159","Gaming cage workers","12","6","6",11,"–","43-3041","2013","43-304","master",0.25,"college+"
"4160","Gaming managers","16","12","4",21.5,"–","2619460","2013","261946","master",0.97,"college+"
"4161","General and operations managers","947","698","250",1069.5,"45.6","11-1021","2013","11-102","master",145.45,"college+"
"4162","Glaziers","31","31","0",41.5,"–","47-2121","2013","47-212","master",0.12,"college+"
"4163","Graders and sorters, agricultural products","91","34","57",106,"42.4","45-2041","2013","45-204","master",0.53,"college+"
"4164","Hazardous materials removal workers","28","20","8",35,"–","47-4041","2013","47-404","master",0.91,"college+"
"4165","Health diagnosing and treating practitioners, all other","7","1","6",24,"–","29-1199","2013","29-119","master",10.08,"college+"
"4166","Heating, air conditioning, and refrigeration mechanics and installers","316","313","3",362,"41.1","49-9021","2013","49-902","master",1.81,"college+"
"4167","Highway maintenance workers","95","95","0",102.5,"48.1","47-4051","2013","47-405","master",0.41,"college+"
"4168","Home appliance repairers","38","38","0",49.5,"48.2","49-9031","2013","49-903","master",0.4,"college+"
"4169","Hosts and hostesses, restaurant, lounge, and coffee shop","69","9","60",279.5,"21.8","35-9031","2013","35-903","master",5.87,"college+"
"4170","Hotel, motel, and resort desk clerks","71","21","50",111,"30.1","43-4081","2013","43-408","master",3.11,"college+"
"4171","Human resources assistants, except payroll and timekeeping","129","26","103",132.5,"42.6","43-4161","2013","43-416","master",9.8,"college+"
"4172","Human resources managers","211","60","152",221.5,"44.3","446267","2013","446267","master",42.09,"college+"
"4173","Industrial production managers","256","215","41",258.5,"47.6","420700","2013","420700","master",31.54,"college+"
"4174","Industrial truck and tractor operators","542","510","32",547,"40","53-7051","2013","53-705","master",1.09,"college+"
"4175","Information and record clerks, all other","85","23","62",103.5,"44.2","43-4199","2013","43-419","master",4.14,"college+"
"4176","Inspectors, testers, sorters, samplers, and weighers","650","439","211",687.5,"43.8","51-9061","2013","51-906","master",19.25,"college+"
"4177","Insurance claims and policy processing clerks","252","46","206",258.5,"41.5","43-9041","2013","43-904","master",8.01,"college+"
"4178","Insurance sales agents","431","216","216",571,"45.6","41-3021","2013","41-302","master",35.97,"college+"
"4179","Interviewers, except eligibility and loan","110","21","89",140.5,"42.2","43-4111","2013","43-411","master",8.01,"college+"
"4180","Jewelers and precious stone and metal workers","23","17","6",50,"48.6","51-9071","2013","51-907","master",1,"college+"
"4181","Laundry and dry-cleaning workers","121","50","71",176,"43.2","51-6011","2013","51-601","master",1.06,"college+"
"4182","Librarians","149","28","121",187.5,"50.5","25-4021","2013","25-402","master",106.88,"college+"
"4183","Library assistants, clerical","50","8","42",92,"39.4","43-4121","2013","43-412","master",8.56,"college+"
"4184","Library technicians","18","4","14",42,"–","25-4031","2013","25-403","master",4.24,"college+"
"4185","Licensed practical and licensed vocational nurses","444","40","404",544.5,"43.8","29-2061","2013","29-206","master",3.27,"college+"
"4186","Loan interviewers and clerks","158","29","129",156,"39.9","43-4131","2013","43-413","master",3.9,"college+"
"4187","Lodging managers","98","45","53",148.5,"47.1","2623113","2013","262311","master",11.58,"college+"
"4188","Logisticians","91","58","33",91,"46.1","13-1081","2013","13-108","master",9.1,"college+"
"4189","Machinists","388","367","21",397.5,"46.2","51-4041","2013","51-404","master",1.59,"college+"
"4190","Mail clerks and mail machine operators, except postal service","48","26","22",78,"50","43-9051","2013","43-905","master",1.4,"college+"
"4191","Maintenance and repair workers, general","405","386","18",452,"47.9","49-9071","2013","49-907","master",4.07,"college+"
"4192","Management analysts","547","318","229",792,"47.2","13-1111","2013","13-111","master",229.68,"college+"
"4193","Marine engineers and naval architects","12","12","0",9.5,"–","17-2121","2013","17-212","master",1.6,"college+"
"4194","Market research analysts and marketing specialists","190","80","110",230,"38.5","13-1161","2013","13-116","master",52.9,"college+"
"4195","Massage therapists","48","15","32",165,"41.8","31-9011","2013","31-901","master",6.93,"college+"
"4196","Materials engineers","43","36","7",43,"–","17-2131","2013","17-213","master",8.26,"college+"
"4197","Mechanical engineers","297","273","24",307.5,"42.4","17-2141","2013","17-214","master",62.73,"college+"
"4198","Medical and health services managers","529","154","375",585,"48.3","2634069","2013","263406","master",139.23,"college+"
"4199","Medical records and health information technicians","78","6","72",89,"49.8","29-2071","2013","29-207","master",2.85,"college+"
"4200","Meeting, convention, and event planners","95","15","80",128.5,"37.6","13-1121","2013","13-112","master",13.75,"college+"
"4201","Meter readers, utilities","24","19","6",29,"–","43-5041","2013","43-504","master",0.29,"college+"
"4202","Morticians, undertakers, and funeral directors","28","21","7",38.5,"–","39-4031","2013","39-403","master",2.12,"college+"
"4203","Motion picture projectionists","3","1","2",3.5,"–","39-3021","2013","39-302","master",0,"college+"
"4204","Motor vehicle operators, all other","39","37","3",68.5,"59.3","53-3099","2013","53-309","master",1.23,"college+"
"4205","Natural sciences managers","12","8","4",16,"–","2637722","2013","263772","master",5.02,"college+"
"4206","New accounts clerks","29","3","26",25.5,"–","43-4141","2013","43-414","master",0.97,"college+"
"4207","Nonfarm animal caretakers","78","22","57",177,"32.1","39-2021","2013","39-202","master",4.25,"college+"
"4208","Nurse anesthetists","22","7","14",25.5,"–","29-1151","2013","29-115","master",15.68,"college+"
"4209","Occupational therapists","78","11","68",115,"40.700000000000003","29-1122","2013","29-112","master",47.95,"college+"
"4210","Office clerks, general","852","118","734",1143.5,"42.7","43-9061","2013","43-906","master",38.88,"college+"
"4211","Office machine operators, except computer","35","14","21",43.5,"–","43-9071","2013","43-907","master",0.44,"college+"
"4212","Operations research analysts","119","56","63",129,"44.8","15-2031","2013","15-203","master",33.93,"college+"
"4213","Opticians, dispensing","37","13","25",50.5,"–","29-2081","2013","29-208","master",0.45,"college+"
"4214","Optometrists","14","11","2",37,"–","29-1041","2013","29-104","master",0.89,"college+"
"4215","Packaging and filling machine operators and tenders","297","137","159",282.5,"39.9","51-9111","2013","51-911","master",1.13,"college+"
"4216","Paralegals and legal assistants","337","50","287",411,"42","23-2011","2013","23-201","master",20.14,"college+"
"4217","Parking lot attendants","50","43","7",84.5,"28.3","53-6021","2013","53-602","master",2.11,"college+"
"4218","Paving, surfacing, and tamping equipment operators","18","18","1",22.5,"–","47-2071","2013","47-207","master",0,"college+"
"4219","Payroll and timekeeping clerks","128","9","118",155.5,"47.6","43-3051","2013","43-305","master",3.58,"college+"
"4220","Personal care aides","657","119","539",1156.5,"44.2","39-9021","2013","39-902","master",24.29,"college+"
"4221","Personal care and service workers, all other","36","22","13",100,"35.299999999999997","39-9099","2013","39-909","master",3.5,"college+"
"4222","Pest control workers","62","60","2",75,"42.9","37-2021","2013","37-202","master",0.75,"college+"
"4223","Pharmacists","215","98","117",281.5,"42.7","29-1051","2013","29-105","master",17.17,"college+"
"4224","Photographers","48","31","17",179,"40.1","27-4021","2013","27-402","master",12.53,"college+"
"4225","Photographic process workers and processing machine operators","26","15","11",49,"–","51-9151","2013","51-915","master",2.94,"college+"
"4226","Physical scientists, all other","132","88","44",156,"43.2","19-2099","2013","19-209","master",34.48,"college+"
"4227","Physician assistants","103","36","67",118.5,"39.200000000000003","29-1071","2013","29-107","master",43.73,"college+"
"4228","Plasterers and stucco masons","24","24","0",22.5,"–","47-2161","2013","47-216","master",0.04,"college+"
"4229","Podiatrists","4","1","3",10.5,"–","29-1081","2013","29-108","master",0.25,"college+"
"4230","Postal service clerks","90","45","45",124,"52.1","43-5051","2013","43-505","master",2.23,"college+"
"4231","Prepress technicians and workers","25","17","9",31,"–","51-5111","2013","51-511","master",0.59,"college+"
"4232","Pressers, textile, garment, and related materials","35","18","17",54.5,"45.7","51-6021","2013","51-602","master",0.16,"college+"
"4233","Private detectives and investigators","72","40","32",94.5,"43.5","33-9021","2013","33-902","master",13.7,"college+"
"4234","Procurement clerks","30","12","18",27,"–","43-3061","2013","43-306","master",2.27,"college+"
"4235","Production, planning, and expediting clerks","272","124","148",277,"46.1","43-5061","2013","43-506","master",18.56,"college+"
"4236","Proofreaders and copy markers","3","0","3",8.5,"–","43-9081","2013","43-908","master",0.82,"college+"
"4237","Property, real estate, and community association managers","358","161","198",649,"50.8","2645027","2013","264502","master",53.22,"college+"
"4238","Public relations and fundraising managers","51","21","29",56.5,"41.1","48153","2013","48153","master",15.42,"college+"
"4239","Public relations specialists","109","41","68",152,"37.4","27-3031","2013","27-303","master",31.16,"college+"
"4240","Purchasing managers","181","92","89",201,"47.5","424353","2013","424353","master",35.98,"college+"
"4241","Rail-track laying and maintenance equipment operators","16","16","0",11.5,"–","47-4061","2013","47-406","master",0.02,"college+"
"4242","Railroad conductors and yardmasters","46","43","3",51,"39","53-4031","2013","53-403","master",0.46,"college+"
"4243","Receptionists and information clerks","901","73","828",1281.5,"37.6","43-4171","2013","43-417","master",28.19,"college+"
"4244","Refuse and recyclable material collectors","75","74","1",107,"41.1","53-7081","2013","53-708","master",0.64,"college+"
"4245","Registered nurses","2278","254","2023",2883.5,"44.2","29-1141","2013","29-114","master",236.45,"college+"
"4246","Religious workers, all other","34","17","17",71.5,"47.1","21-2099","2013","21-209","master",13.51,"college+"
"4247","Reservation and transportation ticket agents and travel clerks","100","46","54",118,"44.2","43-4181","2013","43-418","master",4.84,"college+"
"4248","Residential advisors","32","13","18",49,"–","39-9041","2013","39-904","master",3.48,"college+"
"4249","Retail salespersons","1829","1092","737",3285.5,"34.700000000000003","41-2031","2013","41-203","master",121.56,"college+"
"4250","Roofers","133","133","0",199.5,"37.299999999999997","47-2181","2013","47-218","master",0.6,"college+"
"4251","Sales engineers","33","29","4",31.5,"–","41-9031","2013","41-903","master",5.13,"college+"
"4252","Sales representatives, services, all other","348","242","106",444.5,"42.1","41-3099","2013","41-309","master",32.89,"college+"
"4253","Sawing machine setters, operators, and tenders, wood","25","23","2",31.5,"–","51-7041","2013","51-704","master",0.09,"college+"
"4254","Securities, commodities, and financial services sales agents","219","145","75",279,"41.7","41-3031","2013","41-303","master",46.59,"college+"
"4255","Sewing machine operators","121","29","91",162,"48","51-6031","2013","51-603","master",0.97,"college+"
"4256","Sheet metal workers","100","93","7",118,"43.2","47-2211","2013","47-221","master",0.47,"college+"
"4257","Shipping, receiving, and traffic clerks","493","342","151",545,"41.1","43-5071","2013","43-507","master",3.27,"college+"
"4258","Social and community service managers","280","94","185",323.5,"47.5","2648679","2013","264867","master",88.96,"college+"
"4259","Stationary engineers and boiler operators","90","84","5",106,"48.6","51-8021","2013","51-802","master",2.44,"college+"
"4260","Statistical assistants","18","8","10",28,"–","43-9111","2013","43-911","master",1.37,"college+"
"4261","Stock clerks and order fillers","918","596","321",1480.5,"35.200000000000003","43-5081","2013","43-508","master",20.73,"college+"
"4262","Structural iron and steel workers","38","38","0",57,"–","47-2221","2013","47-222","master",0.06,"college+"
"4263","Structural metal fabricators and fitters","21","21","0",24,"–","51-2041","2013","51-204","master",0.07,"college+"
"4264","Surveying and mapping technicians","48","43","5",65.5,"44.7","17-3031","2013","17-303","master",0.79,"college+"
"4265","Switchboard operators, including answering service","22","6","16",33.5,"–","43-2011","2013","43-201","master",0.84,"college+"
"4266","Tax examiners and collectors, and revenue agents","62","19","43",71,"45.6","13-2081","2013","13-208","master",7.24,"college+"
"4267","Taxi drivers and chauffeurs","202","172","30",337,"49.2","53-3041","2013","53-304","master",10.11,"college+"
"4268","Teacher assistants","571","70","501",908,"44.8","25-9041","2013","25-904","master",41.77,"college+"
"4269","Telemarketers","49","18","32",95,"31.3","41-9041","2013","41-904","master",2.75,"college+"
"4270","Telephone operators","20","3","17",35.5,"–","43-2021","2013","43-202","master",0.71,"college+"
"4271","Tellers","265","36","229",374.5,"30.9","43-3071","2013","43-307","master",7.49,"college+"
"4272","Tool and die makers","55","55","1",54.5,"51.1","51-4111","2013","51-411","master",0.38,"college+"
"4273","Training and development managers","33","16","17",35,"–","449919","2013","449919","master",8.19,"college+"
"4274","Training and development specialists","109","47","62",122.5,"42.5","13-1151","2013","13-115","master",19.84,"college+"
"4275","Transportation attendants, except flight attendants","30","14","16",37.5,"–","53-6061","2013","53-606","master",0.6,"college+"
"4276","Transportation inspectors","41","35","6",40.5,"–","53-6051","2013","53-605","master",0.61,"college+"
"4277","Transportation, storage, and distribution managers","252","194","58",275.5,"45.8","428005","2013","428005","master",20.66,"college+"
"4278","Travel agents","42","10","32",75,"53.2","41-3041","2013","41-304","master",4.05,"college+"
"4279","Urban and regional planners","20","12","7",24,"–","19-3051","2013","19-305","master",12.14,"college+"
"4280","Ushers, lobby attendants, and ticket takers","9","4","5",41,"–","39-3031","2013","39-303","master",0.82,"college+"
"4281","Veterinarians","41","18","23",86,"46.8","29-1131","2013","29-113","master",1.55,"college+"
"4282","Waiters and waitresses","883","325","558",2124,"26.2","35-3031","2013","35-303","master",38.23,"college+"
"4283","Water and wastewater treatment plant and system operators","68","64","4",70,"49.8","51-8031","2013","51-803","master",0.84,"college+"
"4284","Weighers, measurers, checkers, and samplers, recordkeeping","74","37","37",79,"46.5","43-5111","2013","43-511","master",2.13,"college+"
"4285","Accountants and auditors","1464","618","846",1789.5,"43.2","13-2011","2015","13-201","master",359.69,"college+"
"4286","Actors","12","8","4",41.5,"–","27-2011","2015","27-201","master",4.73,"college+"
"4287","Actuaries","24","18","6",27,"–","15-2011","2015","15-201","master",6.37,"college+"
"4288","Adhesive bonding machine operators and tenders","9","5","4",10.5,"–","51-9191","2015","51-919","master",0.05,"college+"
"4289","Administrative services managers","170","96","73",128.5,"49.4","406090","2015","406090","master",12.98,"college+"
"4290","Advertising and promotions managers","55","29","26",64,"40.299999999999997","40848","2015","40848","master",7.74,"college+"
"4291","Advertising sales agents","161","78","83",234,"39.299999999999997","41-3011","2015","41-301","master",20.12,"college+"
"4292","Aerospace engineers","140","122","18",131.5,"45.1","17-2011","2015","17-201","master",41.16,"college+"
"4293","Agents and business managers of artists, performers, and athletes","27","13","14",53,"37","13-1011","2015","13-101","master",5.67,"college+"
"4294","Agricultural and food science technicians","28","21","7",30,"–","19-4011","2015","19-401","master",1.08,"college+"
"4295","Agricultural inspectors","12","7","6",14,"–","45-2011","2015","45-201","master",0.8,"college+"
"4296","Aircraft mechanics and service technicians","133","125","7",157.5,"47.5","49-3011","2015","49-301","master",1.42,"college+"
"4297","Aircraft structure, surfaces, rigging, and systems assemblers","15","11","4",18.5,"–","51-2011","2015","51-201","master",0.17,"college+"
"4298","Ambulance drivers and attendants, except emergency medical technicians","18","14","4",18.5,"–","53-3011","2015","53-301","master",0.48,"college+"
"4299","Animal control workers","4","2","2",11,"–","33-9011","2015","33-901","master",0.11,"college+"
"4300","Animal trainers","26","19","8",40,"–","39-2011","2015","39-201","master",2,"college+"
"4301","Appraisers and assessors of real estate","42","21","21",95.5,"49.9","13-2021","2015","13-202","master",9.45,"college+"
"4302","Architectural and engineering managers","110","101","10",120.5,"49.7","2608503","2015","260850","master",38.92,"college+"
"4303","Atmospheric and space scientists","8","8","1",14.5,"–","19-2021","2015","19-202","master",3.44,"college+"
"4304","Audiologists","8","1","6",15,"–","29-1181","2015","29-118","master",3.73,"college+"
"4305","Automotive and watercraft service attendants","63","58","5",93,"27.3","53-6031","2015","53-603","master",1.3,"college+"
"4306","Automotive body and related repairers","120","118","2",154,"43.2","49-3021","2015","49-302","master",0.46,"college+"
"4307","Avionics technicians","4","4","0",12,"–","49-2091","2015","49-209","master",0.1,"college+"
"4308","Bakers","150","69","80",203,"39.1","51-3011","2015","51-301","master",1.83,"college+"
"4309","Barbers","46","33","12",118,"41.2","39-5011","2015","39-501","master",0.71,"college+"
"4310","Bartenders","252","110","142",414.5,"31.3","35-3011","2015","35-301","master",7.46,"college+"
"4311","Bill and account collectors","152","54","98",191.5,"39.4","43-3011","2015","43-301","master",4.21,"college+"
"4312","Billing and posting clerks","406","39","366",486,"44","43-3021","2015","43-302","master",14.09,"college+"
"4313","Biological technicians","20","10","10",20,"–","19-4021","2015","19-402","master",1.02,"college+"
"4314","Boilermakers","21","21","0",20.5,"–","47-2011","2015","47-201","master",0.16,"college+"
"4315","Bookkeeping, accounting, and auditing clerks","769","87","682",1254.5,"50","43-3031","2015","43-303","master",40.14,"college+"
"4316","Brokerage clerks","3","1","1",3.5,"–","43-4011","2015","43-401","master",0.16,"college+"
"4317","Budget analysts","44","17","28",58.5,"43.8","13-2031","2015","13-203","master",16.2,"college+"
"4318","Bus and truck mechanics and diesel engine specialists","327","327","0",316,"41.7","49-3031","2015","49-303","master",1.26,"college+"
"4319","Business operations specialists, all other","186","74","112",223,"43.7","13-1199","2015","13-119","master",44.6,"college+"
"4320","Buyers and purchasing agents, farm products","11","9","2",13.5,"–","13-1021","2015","13-102","master",0.59,"college+"
"4321","Cabinetmakers and bench carpenters","40","38","2",46,"–","51-7011","2015","51-701","master",0.6,"college+"
"4322","Cargo and freight agents","20","12","9",26.5,"–","43-5011","2015","43-501","master",0.58,"college+"
