"","employment","median_salary","men_median","women_median","Total","median_age","code","year","code2","degrees","number","edu"
"218","Roofers","523","520","-",222,"34.200000000000003","47-2181","2011","47-218","less.hs",101.68,"hs-"
"219","Sales engineers","-","-","-",30,"–","41-9031","2011","41-903","less.hs",0.06,"hs-"
"220","Sales representatives, services, all other","887","953","757",503,"40.700000000000003","41-3099","2011","41-309","less.hs",11.57,"hs-"
"221","Sawing machine setters, operators, and tenders, wood","-","-","-",32,"–","51-7041","2011","51-704","less.hs",12.19,"hs-"
"222","Securities, commodities, and financial services sales agents","1144","1269","884",267,"41.7","41-3031","2011","41-303","less.hs",2.67,"hs-"
"223","Sewing machine operators","403","-","398",169,"48","51-6031","2011","51-603","less.hs",72.67,"hs-"
"224","Sheet metal workers","805","805","-",126,"40","47-2211","2011","47-221","less.hs",20.79,"hs-"
"225","Shipping, receiving, and traffic clerks","562","571","543",559,"40","43-5071","2011","43-507","less.hs",80.5,"hs-"
"226","Social and community service managers","1045","1221","973",329,"48.2","2648679","2011","264867","less.hs",4.94,"hs-"
"227","Stationary engineers and boiler operators","855","851","-",95,"51.5","51-8021","2011","51-802","less.hs",6.65,"hs-"
"228","Statistical assistants","-","-","-",18,"–","43-9111","2011","43-911","less.hs",0.27,"hs-"
"229","Stock clerks and order fillers","492","488","501",1503,"34.200000000000003","43-5081","2011","43-508","less.hs",226.95,"hs-"
"230","Structural iron and steel workers","870","870","-",66,"38.5","47-2221","2011","47-222","less.hs",12.21,"hs-"
"231","Structural metal fabricators and fitters","-","-","-",32,"–","51-2041","2011","51-204","less.hs",3.9,"hs-"
"232","Surveying and mapping technicians","777","-","-",62,"43.1","17-3031","2011","17-303","less.hs",2.67,"hs-"
"233","Switchboard operators, including answering service","-","-","-",39,"–","43-2011","2011","43-201","less.hs",1.95,"hs-"
"234","Tax examiners and collectors, and revenue agents","920","-","-",70,"47.3","13-2081","2011","13-208","less.hs",0.98,"hs-"
"235","Taxi drivers and chauffeurs","553","576","-",342,"48.8","53-3041","2011","53-304","less.hs",50.96,"hs-"
"236","Teacher assistants","480","-","471",950,"44.9","25-9041","2011","25-904","less.hs",24.7,"hs-"
"237","Telemarketers","412","-","-",108,"30.5","41-9041","2011","41-904","less.hs",7.34,"hs-"
"238","Telephone operators","-","-","-",40,"–","43-2021","2011","43-202","less.hs",1.8,"hs-"
"239","Tellers","492","-","500",413,"31.8","43-3071","2011","43-307","less.hs",7.02,"hs-"
"240","Tool and die makers","920","930","-",66,"51","51-4111","2011","51-411","less.hs",3.96,"hs-"
"241","Training and development managers","-","-","-",38,"–","449919","2011","449919","less.hs",0.3,"hs-"
"242","Training and development specialists","1059","1260","951",130,"45","13-1151","2011","13-115","less.hs",1.56,"hs-"
"243","Transportation attendants, except flight attendants","-","-","-",32,"–","53-6061","2011","53-606","less.hs",4.58,"hs-"
"244","Transportation inspectors","-","-","-",32,"–","53-6051","2011","53-605","less.hs",2.18,"hs-"
"245","Transportation, storage, and distribution managers","882","861","-",254,"43.8","428005","2011","428005","less.hs",12.19,"hs-"
"246","Travel agents","-","-","-",69,"51.1","41-3041","2011","41-304","less.hs",1.31,"hs-"
"247","Urban and regional planners","-","-","-",26,"–","19-3051","2011","19-305","less.hs",0,"hs-"
"248","Ushers, lobby attendants, and ticket takers","-","-","-",46,"–","39-3031","2011","39-303","less.hs",4.69,"hs-"
"249","Veterinarians","-","-","-",71,"42.6","29-1131","2011","29-113","less.hs",0.36,"hs-"
"250","Waiters and waitresses","407","466","389",2059,"26.1","35-3031","2011","35-303","less.hs",298.56,"hs-"
"251","Water and wastewater treatment plant and system operators","780","788","-",71,"48.4","51-8031","2011","51-803","less.hs",3.2,"hs-"
"252","Weighers, measurers, checkers, and samplers, recordkeeping","596","-","-",70,"44.9","43-5111","2011","43-511","less.hs",9.1,"hs-"
"253","Accountants and auditors","1516","571","945",1789.5,"43.2","13-2011","2013","13-201","less.hs",3.58,"hs-"
"254","Actors","18","8","10",41.5,"–","27-2011","2013","27-201","less.hs",1.04,"hs-"
