"","occupation","code","employ1","employ2","change_number","change_percent","job_change_number","annual_wage","education","work_experience","job_training","year"
"169","Costume attendants
 Show/hide Example Job Titles","39-3092",6.2,6.7,0.5,8.8,3.1,"45900.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"170","Counselors, all other
 Show/hide Example Job Titles","21-1019",31,34.4,3.4,11,9.9,"44350.0","Master's degree","None","None","2014"
"171","Counter and rental clerks
 Show/hide Example Job Titles","41-2021",442.1,458.5,16.3,3.7,125.8,"25550.0","No formal educational credential","None","Short-term on-the-job training","2014"
"172","Counter attendants, cafeteria, food concession, and coffee shop
 Show/hide Example Job Titles","35-3022",481.2,510,28.9,6,318.1,"19970.0","No formal educational credential","None","Short-term on-the-job training","2014"
"173","Couriers and messengers
 Show/hide Example Job Titles","43-5021",92.9,97.7,4.8,5.2,16.5,"28170.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"174","Court reporters
 Show/hide Example Job Titles","23-2091",20.8,21.1,0.3,1.5,4.9,"51320.0","Postsecondary nondegree award","None","Short-term on-the-job training","2014"
"175","Court, municipal, and license clerks
 Show/hide Example Job Titles","43-4031",140.8,147.1,6.3,4.5,14.8,"36670.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"176","Craft artists
 Show/hide Example Job Titles","27-1012",10.6,10.6,0.1,0.6,2,"33440.0","No formal educational credential","None","Long-term on-the-job training","2014"
"177","Crane and tower operators
 Show/hide Example Job Titles","53-7021",45.5,49,3.4,7.6,19.2,"52170.0","High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training","2014"
"178","Credit analysts
 Show/hide Example Job Titles","13-2041",69.4,73.6,4.2,6.1,34.3,"69930.0","Bachelor's degree","None","None","2014"
"179","Credit authorizers, checkers, and clerks
 Show/hide Example Job Titles","43-4041",46.1,43.3,-2.8,-6.2,3.8,"36930.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"180","Credit counselors
 Show/hide Example Job Titles","13-2071",32.6,37.6,5,15.5,10.5,"44380.0","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"181","Criminal justice and law enforcement teachers, postsecondary
 Show/hide Example Job Titles","25-1111",17.4,21.1,3.7,21.4,6.8,"59590.0","Doctoral or professional degree","None","None","2014"
"182","Crossing guards
 Show/hide Example Job Titles","33-9091",69.8,74.2,4.5,6.4,17,"26700.0","No formal educational credential","None","Short-term on-the-job training","2014"
"183","Crushing, grinding, and polishing machine setters, operators, and tenders
 Show/hide Example Job Titles","51-9021",30.2,27.9,-2.3,-7.5,6.5,"34390.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"184","Curators
 Show/hide Example Job Titles","25-4012",13.1,14.1,1,8,5.1,"53360.0","Master's degree","None","None","2014"
"185","Customer service representatives
 Show/hide Example Job Titles","43-4051",2581.8,2834.8,252.9,9.8,888.7,"32300.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"186","Cutters and trimmers, hand
 Show/hide Example Job Titles","51-9031",15.8,13,-2.8,-17.5,3.1,"27600.0","No formal educational credential","None","Short-term on-the-job training","2014"
"187","Cutting and slicing machine setters, operators, and tenders
 Show/hide Example Job Titles","51-9032",63.6,58.4,-5.2,-8.1,12.7,"32870.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"188","Cutting, punching, and press machine setters, operators, and tenders, metal and plastic
 Show/hide Example Job Titles","51-4031",192.2,152.7,-39.5,-20.6,24.3,"32370.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"189","Dancers
 Show/hide Example Job Titles","27-2031",13,13.6,0.6,4.8,4.8,"N/A","No formal educational credential","None","Long-term on-the-job training","2014"
"190","Data entry keyers
 Show/hide Example Job Titles","43-9021",216.8,208.9,-7.9,-3.7,27.6,"30100.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"191","Database administrators
 Show/hide Example Job Titles","15-1141",120,133.4,13.4,11.1,39.2,"84950.0","Bachelor's degree","Less than 5 years","None","2014"
"192","Demonstrators and product promoters
 Show/hide Example Job Titles","41-9011",93,101.3,8.2,8.9,35.8,"25610.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"193","Dental assistants
 Show/hide Example Job Titles","31-9091",318.8,377.4,58.6,18.4,137.5,"36940.0","Postsecondary nondegree award","None","None","2014"
"194","Dental hygienists
 Show/hide Example Job Titles","29-2021",200.5,237.9,37.4,18.6,70.3,"72910.0","Associate's degree","None","None","2014"
"195","Dental laboratory technicians
 Show/hide Example Job Titles","51-9081",38.7,42.9,4.2,10.8,13.5,"37680.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"196","Dentists, all other specialists
 Show/hide Example Job Titles","29-1029",6.7,7.3,0.6,8.5,1.9,"173000.0","Doctoral or professional degree","None","Internship/residency","2014"
"197","Dentists, general
 Show/hide Example Job Titles","29-1021",129,152.3,23.3,18,49.6,"153900.0","Doctoral or professional degree","None","None","2014"
"198","Derrick operators, oil and gas
 Show/hide Example Job Titles","47-5011",21.7,24.6,2.9,13.3,10.3,"48130.0","No formal educational credential","None","Short-term on-the-job training","2014"
"199","Designers, all other
 Show/hide Example Job Titles","27-1029",8.9,9.5,0.6,6.2,2.7,"53380.0","Bachelor's degree","None","None","2014"
"200","Desktop publishers
 Show/hide Example Job Titles","43-9031",14.8,11.7,-3.1,-21,4,"41090.0","Associate's degree","None","Short-term on-the-job training","2014"
"201","Detectives and criminal investigators
 Show/hide Example Job Titles","33-3021",116.7,115.3,-1.4,-1.2,28.3,"78120.0","High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training","2014"
"202","Diagnostic medical sonographers
 Show/hide Example Job Titles","29-2032",60.7,76.7,16,26.4,27.5,"69650.0","Associate's degree","None","None","2014"
"203","Dietetic technicians
 Show/hide Example Job Titles","29-2051",29.3,33.2,3.9,13.3,6.8,"26350.0","Associate's degree","None","None","2014"
"204","Dietitians and nutritionists
 Show/hide Example Job Titles","29-1031",66.7,77.6,11,16.4,16,"58920.0","Bachelor's degree","None","Internship/residency","2014"
"205","Dining room and cafeteria attendants and bartender helpers
 Show/hide Example Job Titles","35-9011",415.3,440.7,25.4,6.1,233,"20200.0","No formal educational credential","None","Short-term on-the-job training","2014"
"206","Directors, religious activities and education
 Show/hide Example Job Titles","21-2021",131.9,137.5,5.7,4.3,41.2,"38610.0","Bachelor's degree","Less than 5 years","None","2014"
"207","Dishwashers
 Show/hide Example Job Titles","35-9021",507.4,487.9,-19.5,-3.9,219.3,"20800.0","No formal educational credential","None","Short-term on-the-job training","2014"
"208","Dispatchers, except police, fire, and ambulance
 Show/hide Example Job Titles","43-5032",199.5,208.2,8.8,4.4,58.6,"37940.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"209","Door-to-door sales workers, news and street vendors, and related workers
 Show/hide Example Job Titles","41-9091",80.2,79.1,-1.1,-1.4,6.6,"24330.0","No formal educational credential","None","Short-term on-the-job training","2014"
"210","Drafters, all other
 Show/hide Example Job Titles","17-3019",14.7,14.2,-0.5,-3.4,1.7,"50470.0","Associate's degree","None","None","2014"
"211","Dredge operators
 Show/hide Example Job Titles","53-7031",2.2,2.3,0.2,8.7,0.4,"42420.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"212","Drilling and boring machine tool setters, operators, and tenders, metal and plastic
 Show/hide Example Job Titles","51-4032",17.8,14.1,-3.7,-20.5,3.1,"36410.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"213","Driver/sales workers
 Show/hide Example Job Titles","53-3031",445.3,466.1,20.8,4.7,96.6,"22830.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"214","Drywall and ceiling tile installers
 Show/hide Example Job Titles","47-2081",106,111.5,5.5,5.2,12,"41090.0","No formal educational credential","None","Moderate-term on-the-job training","2014"
"215","Earth drillers, except oil and gas
 Show/hide Example Job Titles","47-5021",20,22.7,2.7,13.6,7.2,"44360.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"216","Economics teachers, postsecondary
 Show/hide Example Job Titles","25-1063",17.3,18.9,1.7,9.7,4.7,"95770.0","Doctoral or professional degree","None","None","2014"
"217","Economists
 Show/hide Example Job Titles","19-3011",21.5,22.7,1.2,5.7,7,"101050.0","Master's degree","None","None","2014"
"218","Editors
 Show/hide Example Job Titles","27-3041",117.2,111,-6.2,-5.3,42.5,"57210.0","Bachelor's degree","Less than 5 years","None","2014"
"219","Education administrators, all other
 Show/hide Example Job Titles","2607772.0",37.8,39.3,1.5,4,12.5,"78210.0","Bachelor's degree","Less than 5 years","None","2014"
"220","Education administrators, elementary and secondary school
 Show/hide Example Job Titles","2605216.0",240,254,14,5.8,83.8,"92510.0","Master's degree","5 years or more","None","2014"
"221","Education administrators, postsecondary
 Show/hide Example Job Titles","2605581.0",175.1,190.3,15.2,8.7,66.1,"90760.0","Master's degree","Less than 5 years","None","2014"
"222","Education administrators, preschool and childcare center/program
 Show/hide Example Job Titles","2604850.0",64,68.2,4.2,6.6,22.9,"45790.0","Bachelor's degree","Less than 5 years","None","2014"
"223","Education teachers, postsecondary
 Show/hide Example Job Titles","25-1081",75.7,82.5,6.9,9.1,20.3,"62520.0","Doctoral or professional degree","Less than 5 years","None","2014"
"224","Education, training, and library workers, all other
 Show/hide Example Job Titles","25-9099",124,133.1,9.1,7.4,21.1,"42600.0","Bachelor's degree","None","None","2014"
"225","Educational, guidance, school, and vocational counselors
 Show/hide Example Job Titles","21-1012",273.4,295.9,22.5,8.2,79.7,"54560.0","Master's degree","None","None","2014"
"226","Electric motor, power tool, and related repairers
 Show/hide Example Job Titles","49-2092",19.3,20,0.7,3.6,6,"41570.0","Postsecondary nondegree award","None","Long-term on-the-job training","2014"
"227","Electrical and electronic equipment assemblers
 Show/hide Example Job Titles","51-2022",207.2,197,-10.2,-4.9,25.5,"31310.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"228","Electrical and electronics drafters
 Show/hide Example Job Titles","17-3012",30.1,31.7,1.6,5.4,5.2,"59970.0","Associate's degree","None","None","2014"
"229","Electrical and electronics engineering technicians
 Show/hide Example Job Titles","17-3023",139.4,136.6,-2.8,-2,34.1,"62190.0","Associate's degree","None","None","2014"
"230","Electrical and electronics installers and repairers, transportation equipment
 Show/hide Example Job Titles","49-2093",14.8,15.4,0.7,4.4,3.2,"59280.0","Postsecondary nondegree award","None","Long-term on-the-job training","2014"
"231","Electrical and electronics repairers, commercial and industrial equipment
 Show/hide Example Job Titles","49-2094",67.8,67.8,0.1,0.1,11.8,"56250.0","Postsecondary nondegree award","None","Long-term on-the-job training","2014"
"232","Electrical and electronics repairers, powerhouse, substation, and relay
 Show/hide Example Job Titles","49-2095",22.7,21.7,-1,-4.5,3.9,"75670.0","Postsecondary nondegree award","None","Long-term on-the-job training","2014"
"233","Electrical engineers
 Show/hide Example Job Titles","17-2071",178.4,180.2,1.8,1,41.1,"94210.0","Bachelor's degree","None","None","2014"
"234","Electrical power-line installers and repairers
 Show/hide Example Job Titles","49-9051",118.6,131.6,13,11,60.3,"68010.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"235","Electricians
 Show/hide Example Job Titles","47-2111",628.8,714.7,85.9,13.7,181.8,"52720.0","High school diploma or equivalent","None","Apprenticeship","2014"
"236","Electro-mechanical technicians
 Show/hide Example Job Titles","17-3024",14.7,14.8,0.1,0.7,3.7,"55610.0","Associate's degree","None","None","2014"
"237","Electromechanical equipment assemblers
 Show/hide Example Job Titles","51-2023",47.2,44.7,-2.5,-5.3,5.8,"33350.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"238","Electronic equipment installers and repairers, motor vehicles
 Show/hide Example Job Titles","49-2096",11.5,5.8,-5.8,-50,2,"32220.0","Postsecondary nondegree award","None","Short-term on-the-job training","2014"
"239","Electronic home entertainment equipment installers and repairers
 Show/hide Example Job Titles","49-2097",29.6,30.3,0.7,2.4,4.9,"37410.0","Postsecondary nondegree award","None","Short-term on-the-job training","2014"
"240","Electronics engineers, except computer
 Show/hide Example Job Titles","17-2072",137.4,135.5,-1.9,-1.4,30.3,"99210.0","Bachelor's degree","None","None","2014"
"241","Elementary school teachers, except special education
 Show/hide Example Job Titles","25-2021",1358,1436.3,78.3,5.8,378.7,"55800.0","Bachelor's degree","None","Internship/residency","2014"
"242","Elevator installers and repairers
 Show/hide Example Job Titles","47-4021",20.7,23.4,2.7,13,5.9,"78890.0","High school diploma or equivalent","None","Apprenticeship","2014"
"243","Eligibility interviewers, government programs
 Show/hide Example Job Titles","43-4061",129.9,132,2.1,1.6,16.3,"43350.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"244","Embalmers
 Show/hide Example Job Titles","39-4011",3.8,3.6,-0.2,-6.1,0.8,"40150.0","Postsecondary nondegree award","None","Short-term on-the-job training","2014"
"245","Emergency management directors
 Show/hide Example Job Titles","2652332.0",10.5,11.2,0.7,6.2,1.9,"70500.0","Bachelor's degree","5 years or more","None","2014"
"246","Emergency medical technicians and paramedics
 Show/hide Example Job Titles","29-2041",241.2,299.6,58.5,24.2,98,"32670.0","Postsecondary nondegree award","None","None","2014"
