"","occupation","code","employ1","employ2","change_number","change_percent","job_change_number","annual_wage","education","work_experience","job_training","year"
"400","Industrial engineers
 Show/hide Example Job Titles","17-2112",241.1,243.2,2.1,0.9,72.8,"84310.0","Bachelor's degree","None","None","2014"
"401","Industrial machinery mechanics
 Show/hide Example Job Titles","49-9041",332.2,391.9,59.7,18,145.9,"50040.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"402","Industrial production managers
 Show/hide Example Job Titles","420700.0",173.4,167,-6.3,-3.7,49.1,"97140.0","Bachelor's degree","5 years or more","None","2014"
"403","Industrial truck and tractor operators
 Show/hide Example Job Titles","53-7051",530.9,543.5,12.6,2.4,144.7,"32460.0","No formal educational credential","None","Short-term on-the-job training","2014"
"404","Industrial-organizational psychologists
 Show/hide Example Job Titles","19-3032",2,2.3,0.4,19.1,0.8,"82760.0","Master's degree","None","Internship/residency","2014"
"405","Information and record clerks, all other
 Show/hide Example Job Titles","43-4199",188.5,193,4.6,2.4,53,"39260.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"406","Information security analysts
 Show/hide Example Job Titles","15-1122",82.9,97.7,14.8,17.9,25.5,"92600.0","Bachelor's degree","Less than 5 years","None","2014"
"407","Inspectors, testers, sorters, samplers, and weighers
 Show/hide Example Job Titles","51-9061",496.6,495.5,-1.1,-0.2,124.8,"36780.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"408","Installation, maintenance, and repair workers, all other
 Show/hide Example Job Titles","49-9099",163.5,170.6,7.1,4.3,32,"38480.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"409","Instructional coordinators
 Show/hide Example Job Titles","25-9031",151.1,161.6,10.5,7,25.1,"62460.0","Master's degree","5 years or more","None","2014"
"410","Insulation workers, floor, ceiling, and wall
 Show/hide Example Job Titles","47-2131",25.6,27.1,1.5,6.1,10.2,"35660.0","No formal educational credential","None","Short-term on-the-job training","2014"
"411","Insulation workers, mechanical
 Show/hide Example Job Titles","47-2132",30.1,35.9,5.8,19.4,16,"45430.0","High school diploma or equivalent","None","Apprenticeship","2014"
"412","Insurance appraisers, auto damage
 Show/hide Example Job Titles","13-1032",15.5,15.4,-0.2,-1.2,3.8,"63510.0","Postsecondary nondegree award","None","Moderate-term on-the-job training","2014"
"413","Insurance claims and policy processing clerks
 Show/hide Example Job Titles","43-9041",285.4,303.1,17.7,6.2,89.2,"38430.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"414","Insurance sales agents
 Show/hide Example Job Titles","41-3021",466.1,509.5,43.5,9.3,165.8,"49990.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"415","Insurance underwriters
 Show/hide Example Job Titles","13-2053",103.4,91.6,-11.7,-11.4,19.5,"67680.0","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"416","Interior designers
 Show/hide Example Job Titles","27-1025",58.9,61.1,2.2,3.8,16.2,"49810.0","Bachelor's degree","None","None","2014"
"417","Internists, general
 Show/hide Example Job Titles","29-1063",54.3,59.4,5.1,9.4,19.7,"196380.0","Doctoral or professional degree","None","Internship/residency","2014"
"418","Interpreters and translators
 Show/hide Example Job Titles","27-3091",61,78.5,17.5,28.7,27.2,"46120.0","Bachelor's degree","None","Short-term on-the-job training","2014"
"419","Interviewers, except eligibility and loan
 Show/hide Example Job Titles","43-4111",198,208.3,10.4,5.2,55.5,"32150.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"420","Janitors and cleaners, except maids and housekeeping cleaners
 Show/hide Example Job Titles","37-2011",2360.6,2496.9,136.3,5.8,605.2,"24190.0","No formal educational credential","None","Short-term on-the-job training","2014"
"421","Jewelers and precious stone and metal workers
 Show/hide Example Job Titles","51-9071",39.8,35.3,-4.5,-11.3,6.2,"38200.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"422","Judges, magistrate judges, and magistrates
 Show/hide Example Job Titles","23-1023",29.7,29.9,0.2,0.6,4.5,"125880.0","Doctoral or professional degree","5 years or more","Short-term on-the-job training","2014"
"423","Judicial law clerks
 Show/hide Example Job Titles","23-1012",12.4,11.6,-0.8,-6.3,2.7,"51760.0","Doctoral or professional degree","None","None","2014"
"424","Kindergarten teachers, except special education
 Show/hide Example Job Titles","25-2012",159.4,168.9,9.5,5.9,56.1,"52620.0","Bachelor's degree","None","Internship/residency","2014"
"425","Labor relations specialists
 Show/hide Example Job Titles","13-1075",82.1,75.6,-6.4,-7.8,20,"62310.0","Bachelor's degree","Less than 5 years","None","2014"
"426","Laborers and freight, stock, and material movers, hand
 Show/hide Example Job Titles","53-7062",2441.3,2566.4,125.1,5.1,851.7,"25980.0","No formal educational credential","None","Short-term on-the-job training","2014"
