"","employment","Total","median","code","year","code2","degrees","number","edu"
"4111","Sales representatives, services, all other",479.5,"41.4","41-3099","2014","41-309","master",40.76,"college+"
"4112","Sawing machine setters, operators, and tenders, wood",30.5,"–","51-7041","2014","51-704","master",0,"college+"
"4113","Securities, commodities, and financial services sales agents",257,"41.1","41-3031","2014","41-303","master",45.49,"college+"
"4114","Sewing machine operators",177,"50.8","51-6031","2014","51-603","master",1.06,"college+"
"4115","Sheet metal workers",116,"44.1","47-2211","2014","47-221","master",0.7,"college+"
"4116","Shipping, receiving, and traffic clerks",590.5,"41.5","43-5071","2014","43-507","master",5.91,"college+"
"4117","Stationary engineers and boiler operators",88.5,"49.9","51-8021","2014","51-802","master",1.5,"college+"
"4118","Statistical assistants",20,"–","43-9111","2014","43-911","master",1.36,"college+"
"4119","Stock clerks and order fillers",1506,"34.799999999999997","43-5081","2014","43-508","master",19.58,"college+"
"4120","Structural iron and steel workers",55,"41.2","47-2221","2014","47-222","master",0.06,"college+"
"4121","Structural metal fabricators and fitters",28,"–","51-2041","2014","51-204","master",0.11,"college+"
"4122","Surveying and mapping technicians",71,"40.6","17-3031","2014","17-303","master",0.5,"college+"
"4123","Switchboard operators, including answering service",17.5,"–","43-2011","2014","43-201","master",0.19,"college+"
"4124","Tax examiners and collectors, and revenue agents",64,"44.1","13-2081","2014","13-208","master",7.17,"college+"
"4125","Taxi drivers and chauffeurs",414.5,"49","53-3041","2014","53-304","master",14.51,"college+"
"4126","Teacher assistants",932,"45","25-9041","2014","25-904","master",39.14,"college+"
"4127","Telemarketers",67.5,"34.700000000000003","41-9041","2014","41-904","master",2.36,"college+"
"4128","Telephone operators",33.5,"–","43-2021","2014","43-202","master",0.7,"college+"
"4129","Tellers",359,"31","43-3071","2014","43-307","master",6.46,"college+"
"4130","Tool and die makers",57,"49.4","51-4111","2014","51-411","master",0.23,"college+"
"4131","Training and development specialists",123,"43.7","13-1151","2014","13-115","master",21.65,"college+"
"4132","Transportation attendants, except flight attendants",24.5,"–","53-6061","2014","53-606","master",0.37,"college+"
"4133","Transportation inspectors",38,"–","53-6051","2014","53-605","master",1.22,"college+"
"4134","Travel agents",85.5,"50.9","41-3041","2014","41-304","master",5.22,"college+"
"4135","Urban and regional planners",24.5,"–","19-3051","2014","19-305","master",11.17,"college+"
"4136","Ushers, lobby attendants, and ticket takers",49,"22.7","39-3031","2014","39-303","master",2.99,"college+"
"4137","Veterinarians",85.5,"47.3","29-1131","2014","29-113","master",1.54,"college+"
"4138","Waiters and waitresses",2055.5,"26.6","35-3031","2014","35-303","master",37,"college+"
"4139","Water and wastewater treatment plant and system operators",80.5,"50.3","51-8031","2014","51-803","master",1.05,"college+"
"4140","Weighers, measurers, checkers, and samplers, recordkeeping",73.5,"41.8","43-5111","2014","43-511","master",2.21,"college+"
"4141","General and operations managers",978,"45.4","11-1021","2010","11-102","doctor.professional",25.43,"college+"
"4142","Agents and business managers of artists, performers, and athletes",48,"–","13-1011","2010","13-101","doctor.professional",2.54,"college+"
"4143","Buyers and purchasing agents, farm products",12,"–","13-1021","2010","13-102","doctor.professional",0.02,"college+"
"4144","Compliance officers",198,"45.9","13-1041","2010","13-104","doctor.professional",9.9,"college+"
"4145","Cost estimators",119,"44.7","13-1051","2010","13-105","doctor.professional",0.48,"college+"
"4146","Logisticians",88,"41.6","13-1081","2010","13-108","doctor.professional",0.44,"college+"
"4147","Management analysts",707,"46.6","13-1111","2010","13-111","doctor.professional",48.08,"college+"
"4148","Meeting, convention, and event planners",109,"37.4","13-1121","2010","13-112","doctor.professional",1.09,"college+"
"4149","Fundraisers",78,"41.2","13-1131","2010","13-113","doctor.professional",3.35,"college+"
"4150","Compensation, benefits, and job analysis specialists",65,"44.4","13-1141","2010","13-114","doctor.professional",0.65,"college+"
"4151","Training and development specialists",130,"45","13-1151","2010","13-115","doctor.professional",3.25,"college+"
"4152","Market research analysts and marketing specialists",205,"36.4","13-1161","2010","13-116","doctor.professional",6.77,"college+"
"4153","Business operations specialists, all other",281,"43.6","13-1199","2010","13-119","doctor.professional",10.68,"college+"
"4154","Accountants and auditors",1653,"43.1","13-2011","2010","13-201","doctor.professional",42.98,"college+"
"4155","Appraisers and assessors of real estate",88,"50.6","13-2021","2010","13-202","doctor.professional",2.2,"college+"
"4156","Budget analysts",53,"45.2","13-2031","2010","13-203","doctor.professional",1.06,"college+"
"4157","Credit analysts",24,"–","13-2041","2010","13-204","doctor.professional",0.58,"college+"
"4158","Financial analysts",84,"39.299999999999997","13-2051","2010","13-205","doctor.professional",4.87,"college+"
"4159","Financial examiners",8,"–","13-2061","2010","13-206","doctor.professional",0.34,"college+"
"4160","Tax examiners and collectors, and revenue agents",70,"47.3","13-2081","2010","13-208","doctor.professional",0.98,"college+"
"4161","Financial specialists, all other",77,"43","13-2099","2010","13-209","doctor.professional",2,"college+"
"4162","Computer and information research scientists",20,"–","15-1111","2010","15-111","doctor.professional",3.8,"college+"
"4163","Computer systems analysts",447,"43.1","15-1121","2010","15-112","doctor.professional",10.28,"college+"
"4164","Computer programmers",459,"41.8","15-1131","2010","15-113","doctor.professional",12.39,"college+"
"4165","Database administrators",134,"42.5","15-1141","2010","15-114","doctor.professional",3.48,"college+"
"4166","Computer occupations, all other",306,"40.799999999999997","15-1199","2010","15-119","doctor.professional",3.37,"college+"
"4167","Actuaries",18,"–","15-2011","2010","15-201","doctor.professional",2.43,"college+"
"4168","Operations research analysts",116,"41.3","15-2031","2010","15-203","doctor.professional",5.34,"college+"
"4169","Aerospace engineers",144,"43.9","17-2011","2010","17-201","doctor.professional",7.34,"college+"
"4170","Chemical engineers",74,"43.1","17-2041","2010","17-204","doctor.professional",7.25,"college+"
"4171","Civil engineers",383,"42.5","17-2051","2010","17-205","doctor.professional",13.79,"college+"
"4172","Computer hardware engineers",77,"41.7","17-2061","2010","17-206","doctor.professional",2.62,"college+"
"4173","Environmental engineers",45,"–","17-2081","2010","17-208","doctor.professional",2.25,"college+"
"4174","Marine engineers and naval architects",9,"–","17-2121","2010","17-212","doctor.professional",0.23,"college+"
"4175","Materials engineers",32,"–","17-2131","2010","17-213","doctor.professional",1.92,"college+"
"4176","Mechanical engineers",322,"42.5","17-2141","2010","17-214","doctor.professional",9.34,"college+"
"4177","Surveying and mapping technicians",62,"43.1","17-3031","2010","17-303","doctor.professional",0.19,"college+"
"4178","Atmospheric and space scientists",7,"–","19-2021","2010","19-202","doctor.professional",1.09,"college+"
"4179","Physical scientists, all other",152,"40.4","19-2099","2010","19-209","doctor.professional",78.74,"college+"
"4180","Economists",23,"–","19-3011","2010","19-301","doctor.professional",8.1,"college+"
"4181","Urban and regional planners",26,"–","19-3051","2010","19-305","doctor.professional",1.22,"college+"
"4182","Agricultural and food science technicians",24,"–","19-4011","2010","19-401","doctor.professional",0.46,"college+"
"4183","Biological technicians",21,"–","19-4021","2010","19-402","doctor.professional",1.36,"college+"
"4184","Chemical technicians",77,"40.5","19-4031","2010","19-403","doctor.professional",2.39,"college+"
"4185","Clergy",414,"52.5","21-2011","2010","21-201","doctor.professional",69.14,"college+"
"4186","Directors, religious activities and education",44,"–","21-2021","2010","21-202","doctor.professional",3.04,"college+"
"4187","Religious workers, all other",85,"51.5","21-2099","2010","21-209","doctor.professional",6.38,"college+"
"4188","Paralegals and legal assistants",404,"42.8","23-2011","2010","23-201","doctor.professional",13.33,"college+"
"4189","Librarians",198,"52","25-4021","2010","25-402","doctor.professional",9.7,"college+"
"4190","Library technicians",37,"–","25-4031","2010","25-403","doctor.professional",0.59,"college+"
"4191","Teacher assistants",950,"44.9","25-9041","2010","25-904","doctor.professional",5.7,"college+"
"4192","Actors",28,"–","27-2011","2010","27-201","doctor.professional",0.31,"college+"
"4193","Entertainers and performers, sports and related workers, all other",44,"–","27-2099","2010","27-209","doctor.professional",0.62,"college+"
"4194","Public relations specialists",158,"39.200000000000003","27-3031","2010","27-303","doctor.professional",7.43,"college+"
"4195","Editors",166,"41.4","27-3041","2010","27-304","doctor.professional",9.63,"college+"
"4196","Photographers",148,"40.6","27-4021","2010","27-402","doctor.professional",1.18,"college+"
"4197","Chiropractors",56,"48","29-1011","2010","29-101","doctor.professional",51.86,"college+"
"4198","Dietitians and nutritionists",102,"47.7","29-1031","2010","29-103","doctor.professional",7.45,"college+"
"4199","Optometrists",28,"–","29-1041","2010","29-104","doctor.professional",26.91,"college+"
"4200","Pharmacists",274,"41.1","29-1051","2010","29-105","doctor.professional",139.19,"college+"
"4201","Physician assistants",82,"37.6","29-1071","2010","29-107","doctor.professional",11.32,"college+"
"4202","Podiatrists",6,"–","29-1081","2010","29-108","doctor.professional",5.84,"college+"
"4203","Occupational therapists",112,"41.7","29-1122","2010","29-112","doctor.professional",5.71,"college+"
"4204","Veterinarians",71,"42.6","29-1131","2010","29-113","doctor.professional",67.45,"college+"
"4205","Registered nurses",2706,"44.7","29-1141","2010","29-114","doctor.professional",48.71,"college+"
"4206","Nurse anesthetists",33,"–","29-1151","2010","29-115","doctor.professional",3.8,"college+"
"4207","Audiologists",19,"–","29-1181","2010","29-118","doctor.professional",10.41,"college+"
"4208","Health diagnosing and treating practitioners, all other",26,"–","29-1199","2010","29-119","doctor.professional",7.46,"college+"
"4209","Dental hygienists",148,"42.2","29-2021","2010","29-202","doctor.professional",2.66,"college+"
"4210","Emergency medical technicians and paramedics",185,"31.8","29-2041","2010","29-204","doctor.professional",0.56,"college+"
"4211","Licensed practical and licensed vocational nurses",560,"43.2","29-2061","2010","29-206","doctor.professional",1.68,"college+"
"4212","Medical records and health information technicians",116,"42.7","29-2071","2010","29-207","doctor.professional",0.93,"college+"
"4213","Opticians, dispensing",51,"45.9","29-2081","2010","29-208","doctor.professional",0.76,"college+"
"4214","Massage therapists",146,"40.5","31-9011","2010","31-901","doctor.professional",3.21,"college+"
"4215","Dental assistants",307,"36.299999999999997","31-9091","2010","31-909","doctor.professional",6.45,"college+"
"4216","First-line supervisors of correctional officers",42,"–","33-1011","2010","33-101","doctor.professional",0.46,"college+"
"4217","First-line supervisors of fire fighting and prevention workers",44,"–","33-1021","2010","33-102","doctor.professional",0.26,"college+"
"4218","First-line supervisors of protective service workers, all other",111,"47.2","33-1099","2010","33-109","doctor.professional",1.78,"college+"
"4219","Firefighters",305,"37.299999999999997","33-2011","2010","33-201","doctor.professional",0.61,"college+"
"4220","Detectives and criminal investigators",151,"42.3","33-3021","2010","33-302","doctor.professional",3.32,"college+"
"4221","Animal control workers",6,"–","33-9011","2010","33-901","doctor.professional",0.06,"college+"
"4222","Private detectives and investigators",92,"41.3","33-9021","2010","33-902","doctor.professional",2.39,"college+"
"4223","Crossing guards",59,"53.6","33-9091","2010","33-909","doctor.professional",0.06,"college+"
"4224","Chefs and head cooks",347,"38.799999999999997","35-1011","2010","35-101","doctor.professional",1.74,"college+"
"4225","Food preparation workers",784,"28","35-2021","2010","35-202","doctor.professional",1.57,"college+"
"4226","Bartenders",392,"31.8","35-3011","2010","35-301","doctor.professional",1.57,"college+"
"4227","Combined food preparation and serving workers, including fast food",326,"28.1","35-3021","2010","35-302","doctor.professional",0.33,"college+"
"4228","Waiters and waitresses",2059,"26.1","35-3031","2010","35-303","doctor.professional",6.18,"college+"
"4229","Food servers, nonrestaurant",181,"32.299999999999997","35-3041","2010","35-304","doctor.professional",0.36,"college+"
